family,state_size,map_index,mapping,start_state,tail_mu,period_lambda,terminal_map_count,accepting_set_count,configuration_count,verified_followup_indices,period_comparisons,periodicity_failures,eventually_periodic
total_transformation_monoid,4,35,"0,2,0,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,36,"0,2,1,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,37,"0,2,1,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,38,"0,2,1,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,39,"0,2,1,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,40,"0,2,2,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,41,"0,2,2,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,42,"0,2,2,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,43,"0,2,2,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,44,"0,2,3,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,45,"0,2,3,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,46,"0,2,3,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,47,"0,2,3,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,48,"0,3,0,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,49,"0,3,0,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,50,"0,3,0,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,51,"0,3,0,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,52,"0,3,1,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,53,"0,3,1,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,54,"0,3,1,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,55,"0,3,1,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,56,"0,3,2,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,57,"0,3,2,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,58,"0,3,2,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,59,"0,3,2,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,60,"0,3,3,0",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,61,"0,3,3,1",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,62,"0,3,3,2",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,63,"0,3,3,3",0,0,1,256,16,4096,4,16384,0,True
total_transformation_monoid,4,64,"1,0,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,65,"1,0,0,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,66,"1,0,0,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,67,"1,0,0,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,68,"1,0,1,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,69,"1,0,1,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,70,"1,0,1,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,71,"1,0,1,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,72,"1,0,2,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,73,"1,0,2,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,74,"1,0,2,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,75,"1,0,2,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,76,"1,0,3,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,77,"1,0,3,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,78,"1,0,3,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,79,"1,0,3,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,80,"1,1,0,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,81,"1,1,0,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,82,"1,1,0,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,83,"1,1,0,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,84,"1,1,1,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,85,"1,1,1,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,86,"1,1,1,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,87,"1,1,1,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,88,"1,1,2,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,89,"1,1,2,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,90,"1,1,2,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,91,"1,1,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,92,"1,1,3,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,93,"1,1,3,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,94,"1,1,3,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,95,"1,1,3,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,96,"1,2,0,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,97,"1,2,0,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,98,"1,2,0,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,99,"1,2,0,3",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,100,"1,2,1,0",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,101,"1,2,1,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,102,"1,2,1,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,103,"1,2,1,3",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,104,"1,2,2,0",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,105,"1,2,2,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,106,"1,2,2,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,107,"1,2,2,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,108,"1,2,3,0",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,109,"1,2,3,1",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,110,"1,2,3,2",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,111,"1,2,3,3",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,112,"1,3,0,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,113,"1,3,0,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,114,"1,3,0,2",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,115,"1,3,0,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,116,"1,3,1,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,117,"1,3,1,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,118,"1,3,1,2",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,119,"1,3,1,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,120,"1,3,2,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,121,"1,3,2,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,122,"1,3,2,2",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,123,"1,3,2,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,124,"1,3,3,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,125,"1,3,3,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,126,"1,3,3,2",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,127,"1,3,3,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,128,"2,0,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,129,"2,0,0,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,130,"2,0,0,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,131,"2,0,0,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,132,"2,0,1,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,133,"2,0,1,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,134,"2,0,1,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,135,"2,0,1,3",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,136,"2,0,2,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,137,"2,0,2,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,138,"2,0,2,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,139,"2,0,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,140,"2,0,3,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,141,"2,0,3,1",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,142,"2,0,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,143,"2,0,3,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,144,"2,1,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,145,"2,1,0,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,146,"2,1,0,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,147,"2,1,0,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,148,"2,1,1,0",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,149,"2,1,1,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,150,"2,1,1,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,151,"2,1,1,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,152,"2,1,2,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,153,"2,1,2,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,154,"2,1,2,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,155,"2,1,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,156,"2,1,3,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,157,"2,1,3,1",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,158,"2,1,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,159,"2,1,3,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,160,"2,2,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,161,"2,2,0,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,162,"2,2,0,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,163,"2,2,0,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,164,"2,2,1,0",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,165,"2,2,1,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,166,"2,2,1,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,167,"2,2,1,3",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,168,"2,2,2,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,169,"2,2,2,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,170,"2,2,2,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,171,"2,2,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,172,"2,2,3,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,173,"2,2,3,1",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,174,"2,2,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,175,"2,2,3,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,176,"2,3,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,177,"2,3,0,1",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,178,"2,3,0,2",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,179,"2,3,0,3",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,180,"2,3,1,0",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,181,"2,3,1,1",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,182,"2,3,1,2",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,183,"2,3,1,3",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,184,"2,3,2,0",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,185,"2,3,2,1",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,186,"2,3,2,2",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,187,"2,3,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,188,"2,3,3,0",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,189,"2,3,3,1",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,190,"2,3,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,191,"2,3,3,3",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,192,"3,0,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,193,"3,0,0,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,194,"3,0,0,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,195,"3,0,0,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,196,"3,0,1,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,197,"3,0,1,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,198,"3,0,1,2",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,199,"3,0,1,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,200,"3,0,2,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,201,"3,0,2,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,202,"3,0,2,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,203,"3,0,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,204,"3,0,3,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,205,"3,0,3,1",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,206,"3,0,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,207,"3,0,3,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,208,"3,1,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,209,"3,1,0,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,210,"3,1,0,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,211,"3,1,0,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,212,"3,1,1,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,213,"3,1,1,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,214,"3,1,1,2",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,215,"3,1,1,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,216,"3,1,2,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,217,"3,1,2,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,218,"3,1,2,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,219,"3,1,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,220,"3,1,3,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,221,"3,1,3,1",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,222,"3,1,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,223,"3,1,3,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,224,"3,2,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,225,"3,2,0,1",0,0,4,256,16,4096,16,65536,0,True
total_transformation_monoid,4,226,"3,2,0,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,227,"3,2,0,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,228,"3,2,1,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,229,"3,2,1,1",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,230,"3,2,1,2",0,2,2,256,16,4096,12,49152,0,True
total_transformation_monoid,4,231,"3,2,1,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,232,"3,2,2,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,233,"3,2,2,1",0,3,1,256,16,4096,10,40960,0,True
total_transformation_monoid,4,234,"3,2,2,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,235,"3,2,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,236,"3,2,3,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,237,"3,2,3,1",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,238,"3,2,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,239,"3,2,3,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,240,"3,3,0,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,241,"3,3,0,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,242,"3,3,0,2",0,0,3,256,16,4096,12,49152,0,True
total_transformation_monoid,4,243,"3,3,0,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,244,"3,3,1,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,245,"3,3,1,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,246,"3,3,1,2",0,1,3,256,16,4096,14,57344,0,True
total_transformation_monoid,4,247,"3,3,1,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,248,"3,3,2,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,249,"3,3,2,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,250,"3,3,2,2",0,2,1,256,16,4096,8,32768,0,True
total_transformation_monoid,4,251,"3,3,2,3",0,1,1,256,16,4096,6,24576,0,True
total_transformation_monoid,4,252,"3,3,3,0",0,0,2,256,16,4096,8,32768,0,True
total_transformation_monoid,4,253,"3,3,3,1",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,254,"3,3,3,2",0,1,2,256,16,4096,10,40960,0,True
total_transformation_monoid,4,255,"3,3,3,3",0,1,1,256,16,4096,6,24576,0,True
