fiber,cutoff,fiber_dimension,power,exact_power_trace,closed_walk_dynamic_program,maximum_period
nilpotent_three,9,3,12,200000243/13604889600000000,True,32
nilpotent_three,9,3,13,0,True,32
nilpotent_three,9,3,14,0,True,32
nilpotent_three,9,3,15,1/201553920000000000,True,32
nilpotent_three,9,3,16,1/44079842304,True,32
nilpotent_three,9,3,17,0,True,32
nilpotent_three,9,3,18,1/725594112000000000000,True,32
nilpotent_three,9,3,19,0,True,32
nilpotent_three,9,3,20,1/28563737812992,True,32
nilpotent_three,9,3,21,1/2612138803200000000000000,True,32
nilpotent_three,9,3,22,0,True,32
nilpotent_three,9,3,23,0,True,32
nilpotent_three,9,3,24,10000000000019683/185093021028188160000000000000000,True,32
nilpotent_three,9,3,25,0,True,32
nilpotent_three,9,3,26,0,True,32
nilpotent_three,9,3,27,1/33853318889472000000000000000000,True,32
nilpotent_three,9,3,28,1/11994027762626592768,True,32
nilpotent_three,9,3,29,0,True,32
nilpotent_three,9,3,30,1/121871948002099200000000000000000000,True,32
nilpotent_three,9,3,31,0,True,32
nilpotent_three,9,3,32,1/7772129990182032113664,True,32
trace_zero_repetition_leakage,9,2,1,0,True,32
trace_zero_repetition_leakage,9,2,2,0,True,32
trace_zero_repetition_leakage,9,2,3,0,True,32
trace_zero_repetition_leakage,9,2,4,1/324,True,32
trace_zero_repetition_leakage,9,2,5,1/12960,True,32
trace_zero_repetition_leakage,9,2,6,1/2160000,True,32
trace_zero_repetition_leakage,9,2,7,1/181440000,True,32
trace_zero_repetition_leakage,9,2,8,12005179/5040947520000,True,32
trace_zero_repetition_leakage,9,2,9,960401/8961684480000,True,32
trace_zero_repetition_leakage,9,2,10,9335089/5226454388736000,True,32
trace_zero_repetition_leakage,9,2,11,407/20575296000000,True,32
trace_zero_repetition_leakage,9,2,12,612568007/333319795200000000,True,32
trace_zero_repetition_leakage,9,2,13,650279981/5444223321600000000,True,32
trace_zero_repetition_leakage,9,2,14,2450009/761873817600000000,True,32
trace_zero_repetition_leakage,9,2,15,14650921693/276583966251909120000000,True,32
trace_zero_repetition_leakage,9,2,16,19225363806077/13552614346343546880000000,True,32
trace_zero_repetition_leakage,9,2,17,2450197644924433/20328921519515320320000000000,True,32
trace_zero_repetition_leakage,9,2,18,326869644282184517/73184117470255153152000000000000,True,32
trace_zero_repetition_leakage,9,2,19,266524633532208131/2634628228929185513472000000000000,True,32
trace_zero_repetition_leakage,9,2,20,187069274964827269681/170723909234611221272985600000000000,True,32
trace_zero_repetition_leakage,9,2,21,2882992897963517/25091697418373195366400000000000,True,32
trace_zero_repetition_leakage,9,2,22,144469873518896981/26675610817908003323904000000000000,True,32
trace_zero_repetition_leakage,9,2,23,658363757001202355377/4182735776247974921188147200000000000000,True,32
trace_zero_repetition_leakage,9,2,24,4342380400745912474993857/5123851325903769278455480320000000000000000,True,32
trace_zero_repetition_leakage,9,2,25,14021751014086827357369647/132810226367425699697566049894400000000000000,True,32
trace_zero_repetition_leakage,9,2,26,16034511579866695023027127/2656204527348513993951320997888000000000000000,True,32
trace_zero_repetition_leakage,9,2,27,169018647644951060364103/787023563658818961170761777152000000000000000,True,32
trace_zero_repetition_leakage,9,2,28,1615150638083131873327172399/2458886476745481525829222866616320000000000000000,True,32
trace_zero_repetition_leakage,9,2,29,325514420717826408012828028309/3442441067443674136160912013262848000000000000000000,True,32
trace_zero_repetition_leakage,9,2,30,177137340454062635224249565510453/27883772646293760502903387307429068800000000000000000000,True,32
trace_zero_repetition_leakage,9,2,31,6967910785920509923023617353/26030804368015437140722945779302400000000000000000000,True,32
trace_zero_repetition_leakage,9,2,32,8547765544199345952306888185975723/16737234530937829741867758231284298547200000000000000000000,True,32
