support,power,full_trace,pruned_trace,trace_match,determinant_coefficient_match,candidate_used_support
ultimately_periodic,3,7523632221868451431793339179121867698485242660459054387070909052094979637837820317744947242074318721152308347889652745283321117447206750684/102572448066690049095395491352268241339582927720199395256052651905463714529697459295852057898311542699242991282321592537926501722004103759765625,7523632221868451431793339179121867698485242660459054387070909052094979637837820317744947242074318721152308347889652745283321117447206750684/102572448066690049095395491352268241339582927720199395256052651905463714529697459295852057898311542699242991282321592537926501722004103759765625,True,True,False
ultimately_periodic,4,131540291686173229713664009129754568116291142679287004230355142102446045947432558320259678534436214208104230904886793874321256908402833947143963694893792931502333341546783914224598436596/48014708261706215915318318023805745627495547938005797648583607474822004668711350508724095671080334386655956128828965068455892166534818625723553704396426445830808228506237488329272613525390625,131540291686173229713664009129754568116291142679287004230355142102446045947432558320259678534436214208104230904886793874321256908402833947143963694893792931502333341546783914224598436596/48014708261706215915318318023805745627495547938005797648583607474822004668711350508724095671080334386655956128828965068455892166534818625723553704396426445830808228506237488329272613525390625,True,True,False
ultimately_periodic,5,2382149370013586456323716359682052893885724778207102285885119715881124558230837661058254214003164275703889530142496012370686603140130471366342269415103886710992385502456845558588743950387648078616002596362186486702698081223320283724/22475940205286292773790001570827899168884727758234459277128105297934336047746871697868586190976913353039172749319948456167905973165221145149329562580991709964432583423582943598220524954609864493979439702272632752033480440316104888916015625,2382149370013586456323716359682052893885724778207102285885119715881124558230837661058254214003164275703889530142496012370686603140130471366342269415103886710992385502456845558588743950387648078616002596362186486702698081223320283724/22475940205286292773790001570827899168884727758234459277128105297934336047746871697868586190976913353039172749319948456167905973165221145149329562580991709964432583423582943598220524954609864493979439702272632752033480440316104888916015625,True,True,False
ultimately_periodic,6,43858407048041848393020403514628614732294360328590833389020019275268281378406156705550564146627588295463554593490503004173443940174336511602482545599470416182440653681103295588501738442563342826427724699918979882702332580423296768853562963737555736380794181607438634141539280356/10521107102393827190357364800676228728135630713037729034197862671118099568553665150123459368949223841503151465932778530056548723438879277545997141036963166230971639732149929505482722693439501650067376463946683570577664659759163479959338852023430822467601303260318598656713962554931640625,43858407048041848393020403514628614732294360328590833389020019275268281378406156705550564146627588295463554593490503004173443940174336511602482545599470416182440653681103295588501738442563342826427724699918979882702332580423296768853562963737555736380794181607438634141539280356/10521107102393827190357364800676228728135630713037729034197862671118099568553665150123459368949223841503151465932778530056548723438879277545997141036963166230971639732149929505482722693439501650067376463946683570577664659759163479959338852023430822467601303260318598656713962554931640625,True,True,False
ultimately_periodic,7,814185592099190732863945856853583949758623568495685770059342847653745409872057867186850667524287570418808187992638736420546581924484798366530700424148296539097339188594750986630706317110385301834579327448949229323418238066303052986850826232493988892494655586833595921076197984965751613692270259601975374030284461481492319164/4924986169611134474525039628702713887860899717053751048450397314652604596980349559967791530521421948857570528953408772143827993906350494110159395649198639938516106386118480680184432409549027252150347857564282652585318015636227637241167472409935436837142948712260240134774202596856498912369463680027193047437254238463938236236572265625,814185592099190732863945856853583949758623568495685770059342847653745409872057867186850667524287570418808187992638736420546581924484798366530700424148296539097339188594750986630706317110385301834579327448949229323418238066303052986850826232493988892494655586833595921076197984965751613692270259601975374030284461481492319164/4924986169611134474525039628702713887860899717053751048450397314652604596980349559967791530521421948857570528953408772143827993906350494110159395649198639938516106386118480680184432409549027252150347857564282652585318015636227637241167472409935436837142948712260240134774202596856498912369463680027193047437254238463938236236572265625,True,True,False
ultimately_periodic,8,15178174467301331083197047060465401328967347748040283190668921031194524916004048112537655235312160662736203945883635442491011418366044641697718280540238844957579642167005624279830678934027982167756939030377357014599433459708196839504980906398311391157023096051479209182226213441246751466456176802016038421827316235014759888577456340204336462951730461476999724762808629716/2305412209456759146408066982643550748213537487864814606777633461402517214193725432203934066925887510008820951817502946957366585904099931045849282563957989902962452960153923776271555848605108788547933035372452620935160507246816141531787835579346815433188279890062705703088185644833075802417232640700648244727483152096163786772608271012761144003911913122602455341257154941558837890625,15178174467301331083197047060465401328967347748040283190668921031194524916004048112537655235312160662736203945883635442491011418366044641697718280540238844957579642167005624279830678934027982167756939030377357014599433459708196839504980906398311391157023096051479209182226213441246751466456176802016038421827316235014759888577456340204336462951730461476999724762808629716/2305412209456759146408066982643550748213537487864814606777633461402517214193725432203934066925887510008820951817502946957366585904099931045849282563957989902962452960153923776271555848605108788547933035372452620935160507246816141531787835579346815433188279890062705703088185644833075802417232640700648244727483152096163786772608271012761144003911913122602455341257154941558837890625,True,True,False
seeded_total,1,15386665957924791768835233938935545704321/34541761692774385220357792075960730240000,15386665957924791768835233938935545704321/34541761692774385220357792075960730240000,True,True,False
seeded_total,2,91405319038937262140152547382439885161083987251679992760293126965469369186063841/1193133300840415962343411194195751597991798160926146394558092698594050457600000000,91405319038937262140152547382439885161083987251679992760293126965469369186063841/1193133300840415962343411194195751597991798160926146394558092698594050457600000000,True,True,False
seeded_total,3,703160522558423362063080745934439196030869764416420583608508360699641334982344080376109590650714305277719517856328241361/41212926145342936287506480676771170403326993652502587269223455261080943378064741656090922660141913278702157824000000000000,703160522558423362063080745934439196030869764416420583608508360699641334982344080376109590650714305277719517856328241361/41212926145342936287506480676771170403326993652502587269223455261080943378064741656090922660141913278702157824000000000000,True,True,False
seeded_total,4,5781435960578877729895399719811443243678722303733097267486336218254709098538819707294129934989080971096543790325930231152974086013765736990082873105605684473281/1423567073574346541753238852537037842565569064737069063119416138047238362171341421172182091213422659650543552942360894544569438413133155774769397760000000000000000,5781435960578877729895399719811443243678722303733097267486336218254709098538819707294129934989080971096543790325930231152974086013765736990082873105605684473281/1423567073574346541753238852537037842565569064737069063119416138047238362171341421172182091213422659650543552942360894544569438413133155774769397760000000000000000,True,True,False
seeded_total,5,48857812116820652755625418885530423950294027831962100461240563668672347567673216543320691994124450893288489638104370542256880897352540076934089593528749074167416171181641542506887924216527466493127601/49172514609085298191828671865105218868214287204300228749058479101810791349989345862308310675040667703546989504626268066646872398766633997813553501138056186772912718570502341454620262400000000000000000000,48857812116820652755625418885530423950294027831962100461240563668672347567673216543320691994124450893288489638104370542256880897352540076934089593528749074167416171181641542506887924216527466493127601/49172514609085298191828671865105218868214287204300228749058479101810791349989345862308310675040667703546989504626268066646872398766633997813553501138056186772912718570502341454620262400000000000000000000,True,True,False
seeded_total,6,417877135991696442281169081494960409517205299881596980201286288073473520914750892137319984189490516320970507871649814288014777695102480023565128314335670109218049634572898311580285257861971020037386738161143379587800742583623799040159132321/1698505281461491376804007753978568453369765330700410933186941798004585103901704678905074380657616512386633873575289734805167488457351181847420740078848242876336458291151932599797795266196215540867780001447399753804414976000000000000000000000000,417877135991696442281169081494960409517205299881596980201286288073473520914750892137319984189490516320970507871649814288014777695102480023565128314335670109218049634572898311580285257861971020037386738161143379587800742583623799040159132321/1698505281461491376804007753978568453369765330700410933186941798004585103901704678905074380657616512386633873575289734805167488457351181847420740078848242876336458291151932599797795266196215540867780001447399753804414976000000000000000000000000,True,True,False
seeded_total,7,3593169758733355566650444588345335398289565106918160428380566261338704990806500940411024522192946605369018081902956493315701793803672490499626306377929264432574936722356577387633163154052022065282642892730621379336680754107442028589645451835432241895137239077963395798266547575441/58669364666161517999140443080486722252054926981871897682479888252531479693725846040745709104660877280039750497971093760210146569955790828708315225640623354288591512902075796501033845963978188167600242457646893289381901806276677370486986211272571712952074240000000000000000000000000000,3593169758733355566650444588345335398289565106918160428380566261338704990806500940411024522192946605369018081902956493315701793803672490499626306377929264432574936722356577387633163154052022065282642892730621379336680754107442028589645451835432241895137239077963395798266547575441/58669364666161517999140443080486722252054926981871897682479888252531479693725846040745709104660877280039750497971093760210146569955790828708315225640623354288591512902075796501033845963978188167600242457646893289381901806276677370486986211272571712952074240000000000000000000000000000,True,True,False
seeded_total,8,30969686454174004516026994007244740740026976256595546540518399464904001388560063665279569648251011899004410274187783558481994185499655499696127434428842433863478522857200285292812623477264160228573533056074009566203556142003770537281541380499960697339816377849033343758216191404521874615291970423253839134951554402904961/2026543212965028979992534993175964111832886215632781597941901942425244869867305761253457136729165988421616326834784116308320337815959593010390306372684702563461599376735944788018350878188005441495200107676139439993923810904816189970907449623356966883616763454650315943194748345085305393093017600000000000000000000000000000000,30969686454174004516026994007244740740026976256595546540518399464904001388560063665279569648251011899004410274187783558481994185499655499696127434428842433863478522857200285292812623477264160228573533056074009566203556142003770537281541380499960697339816377849033343758216191404521874615291970423253839134951554402904961/2026543212965028979992534993175964111832886215632781597941901942425244869867305761253457136729165988421616326834784116308320337815959593010390306372684702563461599376735944788018350878188005441495200107676139439993923810904816189970907449623356966883616763454650315943194748345085305393093017600000000000000000000000000000000,True,True,False
