sigma,cutoff,control,A_trace_norm,B_trace_norm,successor_lower,successor_upper,return_lower,return_upper,normalized_total_lower,normalized_total_upper,interval_ordered,theorem_class,finite_prefix_is_proof
0.49,32,B_only,0,1,2.92886093943071175519873412898989910644052328765660872988439,2.92886093943071175519873412898989910644052328765660872988469,1.87164223053905466764684889449889774837092869892572120285247,1.87164223053905466764684889449889774837092869892572120285261,1.871642230539054667646848894,1.871642230539054667646848894,True,not_trace_class,False
0.49,32,A_and_B,1,1,2.92886093943071175519873412898989910644052328765660872988439,2.92886093943071175519873412898989910644052328765660872988469,1.87164223053905466764684889449889774837092869892572120285247,1.87164223053905466764684889449889774837092869892572120285261,4.800503169969766422845583023,4.800503169969766422845583023,True,not_trace_class,False
0.49,64,A_only,1,0,3.66080739468255132151144084105190591592956136760665990644972,3.66080739468255132151144084105190591592956136760665990645035,2.39116872138170900019547157707300493887312731792699292130951,2.39116872138170900019547157707300493887312731792699292130981,3.660807394682551321511440841,3.660807394682551321511440841,True,not_trace_class,False
0.49,64,B_only,0,1,3.66080739468255132151144084105190591592956136760665990644972,3.66080739468255132151144084105190591592956136760665990645035,2.39116872138170900019547157707300493887312731792699292130951,2.39116872138170900019547157707300493887312731792699292130981,2.391168721381709000195471577,2.391168721381709000195471577,True,not_trace_class,False
0.49,64,A_and_B,1,1,3.66080739468255132151144084105190591592956136760665990644972,3.66080739468255132151144084105190591592956136760665990645035,2.39116872138170900019547157707300493887312731792699292130951,2.39116872138170900019547157707300493887312731792699292130981,6.051976116064260321706912418,6.051976116064260321706912418,True,not_trace_class,False
0.49,128,A_only,1,0,4.41104837641282344705787264544630686746618873079323414939959,4.41104837641282344705787264544630686746618873079323414940086,2.92087705186976392820178757191824236348367224775579944126005,2.92087705186976392820178757191824236348367224775579944126067,4.411048376412823447057872645,4.411048376412823447057872645,True,not_trace_class,False
0.49,128,B_only,0,1,4.41104837641282344705787264544630686746618873079323414939959,4.41104837641282344705787264544630686746618873079323414940086,2.92087705186976392820178757191824236348367224775579944126005,2.92087705186976392820178757191824236348367224775579944126067,2.920877051869763928201787572,2.920877051869763928201787572,True,not_trace_class,False
0.49,128,A_and_B,1,1,4.41104837641282344705787264544630686746618873079323414939959,4.41104837641282344705787264544630686746618873079323414940086,2.92087705186976392820178757191824236348367224775579944126005,2.92087705186976392820178757191824236348367224775579944126067,7.331925428282587375259660217,7.331925428282587375259660217,True,not_trace_class,False
0.49,256,A_only,1,0,5.17593074630625819542267494736023694026943615575609262152152,5.17593074630625819542267494736023694026943615575609262152407,3.45946767204305999816095517262842650012575892543784734062138,3.45946767204305999816095517262842650012575892543784734062264,5.175930746306258195422674947,5.175930746306258195422674947,True,not_trace_class,False
0.49,256,B_only,0,1,5.17593074630625819542267494736023694026943615575609262152152,5.17593074630625819542267494736023694026943615575609262152407,3.45946767204305999816095517262842650012575892543784734062138,3.45946767204305999816095517262842650012575892543784734062264,3.459467672043059998160955173,3.459467672043059998160955173,True,not_trace_class,False
0.49,256,A_and_B,1,1,5.17593074630625819542267494736023694026943615575609262152152,5.17593074630625819542267494736023694026943615575609262152407,3.45946767204305999816095517262842650012575892543784734062138,3.45946767204305999816095517262842650012575892543784734062264,8.635398418349318193583630120,8.635398418349318193583630120,True,not_trace_class,False
0.49,512,A_only,1,0,5.95362285114912802185834747929296713508521590414934836718133,5.95362285114912802185834747929296713508521590414934836718645,4.00633165567795847728800928238797728587730773900070485415019,4.00633165567795847728800928238797728587730773900070485415274,5.953622851149128021858347479,5.953622851149128021858347479,True,not_trace_class,False
0.49,512,B_only,0,1,5.95362285114912802185834747929296713508521590414934836718133,5.95362285114912802185834747929296713508521590414934836718645,4.00633165567795847728800928238797728587730773900070485415019,4.00633165567795847728800928238797728587730773900070485415274,4.006331655677958477288009282,4.006331655677958477288009282,True,not_trace_class,False
0.49,512,A_and_B,1,1,5.95362285114912802185834747929296713508521590414934836718133,5.95362285114912802185834747929296713508521590414934836718645,4.00633165567795847728800928238797728587730773900070485415019,4.00633165567795847728800928238797728587730773900070485415274,9.959954506827086499146356761,9.959954506827086499146356761,True,not_trace_class,False
0.49,1024,A_only,1,0,6.74325709408759018798720992099303710151574291970757191205561,6.74325709408759018798720992099303710151574291970757191206585,4.56121245395277316450111967881207714511442078723405193789009,4.56121245395277316450111967881207714511442078723405193789520,6.743257094087590187987209921,6.743257094087590187987209921,True,not_trace_class,False
0.49,1024,B_only,0,1,6.74325709408759018798720992099303710151574291970757191205561,6.74325709408759018798720992099303710151574291970757191206585,4.56121245395277316450111967881207714511442078723405193789009,4.56121245395277316450111967881207714511442078723405193789520,4.561212453952773164501119679,4.561212453952773164501119679,True,not_trace_class,False
0.49,1024,A_and_B,1,1,6.74325709408759018798720992099303710151574291970757191205561,6.74325709408759018798720992099303710151574291970757191206585,4.56121245395277316450111967881207714511442078723405193789009,4.56121245395277316450111967881207714511442078723405193789520,11.30446954804036335248832960,11.30446954804036335248832960,True,not_trace_class,False
0.49,2048,A_only,1,0,7.54446602707170342817631053129664279609392034740455117161790,7.54446602707170342817631053129664279609392034740455117163839,5.12403324792814312055699220920648794426964244669606706340861,5.12403324792814312055699220920648794426964244669606706341884,7.544466027071703428176310531,7.544466027071703428176310531,True,not_trace_class,False
0.49,2048,B_only,0,1,7.54446602707170342817631053129664279609392034740455117161790,7.54446602707170342817631053129664279609392034740455117163839,5.12403324792814312055699220920648794426964244669606706340861,5.12403324792814312055699220920648794426964244669606706341884,5.124033247928143120556992209,5.124033247928143120556992209,True,not_trace_class,False
0.49,2048,A_and_B,1,1,7.54446602707170342817631053129664279609392034740455117161790,7.54446602707170342817631053129664279609392034740455117163839,5.12403324792814312055699220920648794426964244669606706340861,5.12403324792814312055699220920648794426964244669606706341884,12.66849927499984654873330274,12.66849927499984654873330274,True,not_trace_class,False
0.49,4096,A_only,1,0,8.35713949173557425799579522870905419811022297473121223870185,8.35713949173557425799579522870905419811022297473121223874282,5.69480916600467078106276436344644490457565156853299522304954,5.69480916600467078106276436344644490457565156853299522307001,8.357139491735574257995795229,8.357139491735574257995795229,True,not_trace_class,False
