trace,norm,adjoint_trace_q,q_mod_8,geodesic_length,log_q_minus_length,relative_period_error,represented_in_frozen_ledger,multiplicity_within_frozen_block_cutoff
1157,1338646.999999253,1338647,7,14.107169960342057,5.580432532857984e-13,3.955742043617127e-14,True,2
1161,1347918.9999992582,1347919,7,14.11407247962765,5.503923764821979e-13,3.8996000429827505e-14,False,0
1175,1380622.9999992757,1380623,7,14.13804540453566,5.246259779991498e-13,3.710739094322217e-14,False,0
1177,1385326.9999992782,1385327,7,14.141446770818613,5.210691993969692e-13,3.684695122370331e-14,False,0
1197,1432806.999999302,1432807,7,14.175146015255024,4.871072693339078e-13,3.436347454972777e-14,False,0
1211,1466518.999999318,1466519,7,14.19840212333298,4.649696563256543e-13,3.274802701647181e-14,False,0
1223,1495726.9999993313,1495727,7,14.218122934232385,4.4698745370503525e-13,3.143786671226678e-14,True,2
1231,1515358.9999993402,1515359,7,14.23116293255008,4.3548072237366086e-13,3.0600501479580334e-14,True,4
1233,1520286.999999342,1520287,7,14.234409690788043,4.3266208247445847e-13,3.039550581113648e-14,False,0
1239,1535118.9999993485,1535119,7,14.244118460428114,4.2434188974692563e-13,2.97906740193004e-14,True,2
1241,1540078.9999993506,1540079,7,14.247344271774956,4.2161300830332494e-13,2.9592392817976545e-14,False,0
1251,1564998.999999361,1564999,7,14.263395742978142,4.08292940810709e-13,2.862522699138454e-14,False,0
1253,1570006.999999363,1570007,7,14.266590635912872,4.056923537923621e-13,2.843653148434168e-14,True,4
1261,1590118.999999371,1590119,7,14.279319414162734,3.9549477127829e-13,2.7697032316961364e-14,True,4
1265,1600222.999999375,1600223,7,14.285653552497827,3.905161360413788e-13,2.7336245738164842e-14,True,4
1267,1605286.999999377,1605287,7,14.288813114759531,3.8805619646729436e-13,2.7158042683506288e-14,True,2
1287,1656366.9999993963,1656367,7,14.320137207730745,3.6449104361614804e-13,2.5453041289252997e-14,True,4
1289,1661518.9999993981,1661519,7,14.323242802160934,3.6223413719806997e-13,2.5289952994681545e-14,False,0
1297,1682206.9999994056,1682207,7,14.335617179718916,3.5337931807767873e-13,2.465044327338817e-14,False,0
1307,1708246.9999994147,1708247,7,14.350978256457912,3.4268781829872363e-13,2.3879056338511742e-14,False,0
1311,1718718.9999994182,1718719,7,14.357089803870386,3.3852460809012395e-13,2.3578915554241115e-14,False,0
1321,1745038.9999994268,1745039,7,14.37228746293879,3.2838984979057865e-13,2.2848822822210883e-14,True,4
1331,1771558.9999994356,1771559,7,14.387370507841407,3.1863153714688703e-13,2.214661372439247e-14,False,0
1343,1803646.9999994454,1803647,7,14.405321284182353,3.0739508023803375e-13,2.1338995095899723e-14,False,0
1357,1841446.999999457,1841447,7,14.426062233567636,2.949046040011833e-13,2.0442487993360466e-14,False,0
1359,1846878.9999994584,1846879,7,14.429007745394605,2.9317242117784354e-13,2.0318266255793732e-14,True,4
1363,1857766.9999994617,1857767,7,14.434885786832085,2.897460417599676e-13,2.0072624476480195e-14,False,0
1365,1863222.999999463,1863223,7,14.437818341829589,2.8805162318734264e-13,1.9951187663359563e-14,False,0
1367,1868686.999999465,1868687,7,14.44074660317799,2.863695726096864e-13,1.9830662532826323e-14,False,0
1379,1901638.9999994743,1901639,7,14.458226703862552,2.765310157000988e-13,1.9126205541251996e-14,False,0
1391,1934878.999999483,1934879,7,14.475555350190785,2.6711137186780377e-13,1.8452581984309044e-14,False,0
1393,1940446.9999994845,1940447,7,14.478428916869525,2.6558065003687864e-13,1.8343195353705316e-14,False,0
1409,1985278.9999994962,1985279,7,14.501270016382536,2.537212851914156e-13,1.749648719765747e-14,False,0
1415,2002222.9999995003,2002223,7,14.509768621265192,2.4944517520300327e-13,1.7191533629104034e-14,False,0
1429,2042038.9999995104,2042039,7,14.52945937644675,2.398125657110063e-13,1.650526420134771e-14,False,0
1435,2059222.9999995143,2059223,7,14.537839285147555,2.358268441774681e-13,1.6221588335922416e-14,False,0
1443,2082246.9999995197,2082247,7,14.548958157047128,2.3064046761988325e-13,1.5852713653462773e-14,False,0
1447,2093806.9999995222,2093807,7,14.554494498065319,2.281007457717947e-13,1.5672186059234952e-14,False,0
1461,2134518.9999995315,2134519,7,14.573751886522373,2.1948252615801823e-13,1.506012507053792e-14,False,0
1463,2140366.999999533,2140367,7,14.576487867621276,2.1828480600006385e-13,1.4975130359415056e-14,False,0
1491,2223078.99999955,2223079,7,14.61440372987654,2.0234394250780893e-13,1.384551475707148e-14,False,0
1499,2246998.999999555,2246999,7,14.62510610612934,1.9805884483005434e-13,1.3542386864943546e-14,False,0
1517,2301286.9999995655,2301287,7,14.648979089618342,1.8882453841301675e-13,1.2889945248596424e-14,False,0
1521,2313438.999999568,2313439,7,14.654245720004948,1.8684603862938865e-13,1.275030064319975e-14,False,0
1525,2325622.9999995697,2325623,7,14.659498518098594,1.8489338445558e-13,1.261253133777452e-14,False,0
1545,2387022.999999581,2387023,7,14.685557540800135,1.7550390849949528e-13,1.1950782802212285e-14,False,0
1549,2399398.9999995832,2399399,7,14.690728847291846,1.73698094014227e-13,1.1823653939827855e-14,False,0
1561,2436718.9999995898,2436719,7,14.706163020255227,1.6841823072322312e-13,1.1452221119217422e-14,False,0
1563,2442966.9999995907,2442967,7,14.708723842166487,1.675578576751132e-13,1.1391733196782302e-14,False,0
1567,2455486.999999593,2455487,7,14.71383567020983,1.658535308344676e-13,1.1271943941188555e-14,False,0
