orbit_id,trace,adjoint_trace_q,q_is_prime_control,repeat,repeated_length,selberg_amplitude_direct,ruelle_logderivative_amplitude_at_s_half,selberg_to_ruelle_ratio,identity_residual,q_prime_target_amplitude,selberg_to_q_prime_target,ruelle_to_q_prime_target
MOD-005262,298,88802,False,3,34.182493353367036,4.3057455634804804e-07,4.305745563480475e-07,1.0000000000000016,2.220446049250313e-16,,,
MOD-005262,298,88802,False,4,45.57665780448938,1.4448973323872988e-09,1.444897332387299e-09,1.0,1.1102230246251565e-16,,,
MOD-005262,298,88802,False,5,56.97082225561172,4.8487033670711225e-12,4.8487033670711225e-12,1.0,0.0,,,
MOD-005263,323,104327,True,1,11.55528547604441,0.035775563463419625,0.0357752205458291,1.0000095853382673,2.220446049250313e-16,0.0357752205444701,1.0000095853762552,1.0000000000379872
MOD-005263,323,104327,True,2,23.11057095208882,0.00011076025840067993,0.00011076025839050362,1.000000000091877,0.0,0.000110760258381208,1.0000000001758025,1.0000000000839255
MOD-005263,323,104327,True,3,34.66585642813323,3.4291430357545056e-07,3.429143035754503e-07,1.0000000000000009,2.220446049250313e-16,3.429143035309181e-07,1.0000000001298646,1.000000000129864
MOD-005263,323,104327,True,4,46.22114190417764,1.0616643668530665e-09,1.0616643668530667e-09,1.0,2.220446049250313e-16,1.0616643666664237e-09,1.000000000175802,1.0000000001758023
MOD-005263,323,104327,True,5,57.77642738022205,3.2869180903021846e-12,3.286918090302185e-12,1.0,1.1102230246251565e-16,3.286918089573343e-12,1.00000000022174,1.0000000002217402
MOD-005264,441,194479,True,1,12.17807946703344,0.027614976656840762,0.027614834662195283,1.000005141969786,0.0,0.027614834661890186,1.0000051419808345,1.0000000000110483
MOD-005264,441,194479,True,2,24.35615893406688,6.261899468671372e-05,6.26189946850581e-05,1.0000000000264397,2.220446049250313e-16,6.261899468353849e-05,1.0000000000507072,1.0000000000242677
