orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-001128,1112221211222,13,1112212111222,False,-200,-59,-61,-18,218,47520,47522,10.768948040250155,47521.999978957116,2.1042885409763962e-05,47521.999978957116,32
MOD-001129,1112221212112,13,1112221221212,False,-213,-154,-65,-47,260,67596,67598,11.121333675575727,67597.99998520667,1.4793337084216141e-05,67597.99998520667,16
MOD-001130,1112221212122,13,1112221121212,False,-249,-95,-76,-29,278,77280,77282,11.255216348301271,77281.99998706038,1.2939623717908877e-05,77281.99998706038,34
MOD-001131,1112221212212,13,1112221211212,False,-226,-131,-69,-40,266,70752,70754,11.16696435081004,70753.99998586653,1.4133476555385635e-05,70753.99998586653,16
MOD-001132,1112221212222,13,1111212111222,False,-167,-36,-51,-11,178,31680,31682,10.36350397425253,31681.999968436336,3.1563663941552455e-05,31681.999968436336,36
MOD-001133,1112221221122,13,1112221122112,False,-206,-85,-63,-26,232,53820,53822,10.893437584151966,53821.99998142024,1.857976292863899e-05,53821.99998142024,22
MOD-001134,1112221221212,13,1112221212112,False,-219,-134,-67,-41,260,67596,67598,11.121333675575727,67597.99998520667,1.4793337084216141e-05,67597.99998520667,16
MOD-001135,1112221221222,13,1112112111222,False,-183,-49,-56,-15,198,39200,39202,10.576483044234516,39201.9999744911,2.5508902623608595e-05,39201.9999744911,19
MOD-001136,1112221222112,13,1112111222122,False,-160,-111,-49,-34,194,37632,37634,10.535663175398534,37633.99997342828,2.6571717083117823e-05,37633.99997342828,20
MOD-001137,1112221222122,13,1112111222112,False,-173,-62,-53,-19,192,36860,36862,10.514936488375628,36861.999972871796,2.712820793055015e-05,36861.999972871796,12
MOD-001138,1112221222212,13,1111211122212,False,-137,-75,-42,-23,160,25596,25598,10.15026950088962,25597.99996093445,3.9065552055868324e-05,25597.99996093445,16
MOD-001139,1112221222222,13,1111112111222,False,-88,-13,-27,-4,92,8460,8462,9.043340817314593,8461.999881824626,0.00011817537390279119,8461.999881824626,20
MOD-001140,1112222112112,13,1111222122122,False,-155,-113,-48,-35,190,36096,36098,10.493992740356772,36097.999972297635,2.7702365803297165e-05,36097.999972297635,30
MOD-001141,1112222112122,13,1111222112122,False,-184,-71,-57,-22,206,42432,42434,10.655705206117705,42433.99997643399,2.356600840258653e-05,42433.99997643399,18
