grid_size,repetition,exact_average,survives_exactly,numeric_real,numeric_imag,numeric_residual,exact_rule,phase_sign
11,-4,0,false,2.9774162933129196e-16,2.5232341468753557e-17,2.9880888355744755e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-3,0,false,9.5882897581263521e-17,-1.5139404881252134e-16,1.7920292426304646e-16,1 iff grid_size divides repetition; otherwise 0,+
11,-2,0,false,1.766263902812749e-17,-7.5697024406260668e-17,7.773035649860327e-17,1 iff grid_size divides repetition; otherwise 0,+
11,-1,0,false,-3.532527805625498e-17,-3.532527805625498e-17,4.9957487321756476e-17,1 iff grid_size divides repetition; otherwise 0,+
11,0,1,true,1,0,0,1 iff grid_size divides repetition; otherwise 0,+
11,1,0,false,-3.532527805625498e-17,3.532527805625498e-17,4.9957487321756476e-17,1 iff grid_size divides repetition; otherwise 0,+
11,2,0,false,1.766263902812749e-17,7.5697024406260668e-17,7.773035649860327e-17,1 iff grid_size divides repetition; otherwise 0,+
11,3,0,false,9.5882897581263521e-17,1.5139404881252134e-16,1.7920292426304646e-16,1 iff grid_size divides repetition; otherwise 0,+
11,4,0,false,2.9774162933129196e-16,-2.5232341468753557e-17,2.9880888355744755e-16,1 iff grid_size divides repetition; otherwise 0,+
11,5,0,false,3.2802043909379627e-17,-7.5697024406260668e-17,8.2498567191163343e-17,1 iff grid_size divides repetition; otherwise 0,+
11,6,0,false,1.4130111222501992e-16,-2.4727694639378484e-16,2.8480149671984244e-16,1 iff grid_size divides repetition; otherwise 0,+
11,7,0,false,7.5697024406260668e-17,3.5325278056254979e-16,3.6127215015710107e-16,1 iff grid_size divides repetition; otherwise 0,+
11,8,0,false,1.0597583416876495e-16,2.0690520004377916e-16,2.324664260337863e-16,1 iff grid_size divides repetition; otherwise 0,+
11,9,0,false,-8.2005109773449066e-16,7.9734199041261241e-16,1.143782344928741e-15,1 iff grid_size divides repetition; otherwise 0,+
11,10,0,false,2.2456783907190669e-16,6.8631968795009675e-16,7.2212563201519445e-16,1 iff grid_size divides repetition; otherwise 0,+
11,11,1,true,1,-1.2246467991473533e-15,1.2246467991473533e-15,1 iff grid_size divides repetition; otherwise 0,+
11,12,0,false,-7.9481875626573708e-16,1.8671932686877633e-16,8.164563444166149e-16,1 iff grid_size divides repetition; otherwise 0,+
