tower_type,owner_id,fixed_prefix_degree_N,first_certified_escape_level,certified_order_lower_bound_at_level,factor_equals_one_mod_x_to_N_plus_1,frozen_prefix_status,asymptotic_status
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,128,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-AB,256,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,1,2,2,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,2,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,4,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,8,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,16,4,24,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,32,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,64,5,120,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,128,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
COCOMPACT_GENUS2_RESIDUAL_HOMOLOGY,G2-H1-ACD,256,6,720,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,1,2,3,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,2,2,3,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,4,4,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,8,6,36,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,16,6,36,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,32,6,36,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,64,7,72,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,128,8,288,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-A,256,8,288,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,1,3,3,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,2,3,3,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,4,4,12,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,8,4,12,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,16,5,60,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,32,5,60,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,64,6,360,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,128,6,360,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-B,256,6,360,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,1,2,2,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,2,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,4,3,6,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,8,4,12,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,16,6,72,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,32,6,72,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,64,6,72,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,128,8,576,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
CUSPED_GAMMA_3_FACTORIAL_CONGRUENCE,G3-C,256,8,576,true,CERTIFIED_IN_FROZEN_PREFIX,PROVED_EVENTUALLY_BY_ORDER_ESCAPE_THEOREM
