modulus,evaluator_class,state_count,s_cycle_count,r_cycle_count,overlap_state_count,recurrent_support_nonzero
112,mixed_composite,192,96,64,192,1
113,prime,114,58,38,114,1
114,mixed_composite,240,120,80,240,1
115,mixed_composite,144,72,48,144,1
116,mixed_composite,180,90,60,180,1
117,mixed_composite,168,84,56,168,1
118,mixed_composite,180,90,60,180,1
119,mixed_composite,144,72,48,144,1
120,mixed_composite,288,144,96,288,1
121,prime_power,132,66,44,132,1
122,mixed_composite,186,94,62,186,1
123,mixed_composite,168,84,56,168,1
124,mixed_composite,192,96,64,192,1
125,prime_power,150,76,50,150,1
126,mixed_composite,288,144,96,288,1
127,prime,128,64,44,128,1
128,prime_power,192,96,64,192,1
129,mixed_composite,176,88,60,176,1
130,mixed_composite,252,128,84,252,1
131,prime,132,66,44,132,1
132,mixed_composite,288,144,96,288,1
133,mixed_composite,160,80,56,160,1
134,mixed_composite,204,102,68,204,1
135,mixed_composite,216,108,72,216,1
136,mixed_composite,216,108,72,216,1
137,prime,138,70,46,138,1
138,mixed_composite,288,144,96,288,1
139,prime,140,70,48,140,1
140,mixed_composite,288,144,96,288,1
141,mixed_composite,192,96,64,192,1
142,mixed_composite,216,108,72,216,1
143,mixed_composite,168,84,56,168,1
144,mixed_composite,288,144,96,288,1
145,mixed_composite,180,92,60,180,1
146,mixed_composite,222,112,74,222,1
147,mixed_composite,224,112,76,224,1
148,mixed_composite,228,114,76,228,1
149,prime,150,76,50,150,1
150,mixed_composite,360,180,120,360,1
151,prime,152,76,52,152,1
152,mixed_composite,240,120,80,240,1
153,mixed_composite,216,108,72,216,1
154,mixed_composite,288,144,96,288,1
155,mixed_composite,192,96,64,192,1
156,mixed_composite,336,168,112,336,1
157,prime,158,80,54,158,1
158,mixed_composite,240,120,80,240,1
159,mixed_composite,216,108,72,216,1
160,mixed_composite,288,144,96,288,1
161,mixed_composite,192,96,64,192,1
162,mixed_composite,324,162,108,324,1
163,prime,164,82,56,164,1
164,mixed_composite,252,126,84,252,1
165,mixed_composite,288,144,96,288,1
166,mixed_composite,252,126,84,252,1
167,prime,168,84,56,168,1
168,mixed_composite,384,192,128,384,1
169,prime_power,182,92,62,182,1
170,mixed_composite,324,164,108,324,1
171,mixed_composite,240,120,80,240,1
172,mixed_composite,264,132,88,264,1
173,prime,174,88,58,174,1
174,mixed_composite,360,180,120,360,1
175,mixed_composite,240,120,80,240,1
176,mixed_composite,288,144,96,288,1
177,mixed_composite,240,120,80,240,1
178,mixed_composite,270,136,90,270,1
179,prime,180,90,60,180,1
180,mixed_composite,432,216,144,432,1
181,prime,182,92,62,182,1
182,mixed_composite,336,168,112,336,1
183,mixed_composite,248,124,84,248,1
184,mixed_composite,288,144,96,288,1
185,mixed_composite,228,116,76,228,1
186,mixed_composite,384,192,128,384,1
187,mixed_composite,216,108,72,216,1
188,mixed_composite,288,144,96,288,1
189,mixed_composite,288,144,96,288,1
190,mixed_composite,360,180,120,360,1
191,prime,192,96,64,192,1
192,mixed_composite,384,192,128,384,1
