modulus,state_count,n_plus_one,evaluator_class,evaluator_prime,count_equals_n_plus_one,selector_equivalent_to_prime,selector_used_by_candidate,terminal_selector_forbidden
100,180,101,mixed_composite,0,0,1,0,1
101,102,102,prime,1,1,1,0,1
102,216,103,mixed_composite,0,0,1,0,1
103,104,104,prime,1,1,1,0,1
104,168,105,mixed_composite,0,0,1,0,1
105,192,106,mixed_composite,0,0,1,0,1
106,162,107,mixed_composite,0,0,1,0,1
107,108,108,prime,1,1,1,0,1
108,216,109,mixed_composite,0,0,1,0,1
109,110,110,prime,1,1,1,0,1
110,216,111,mixed_composite,0,0,1,0,1
111,152,112,mixed_composite,0,0,1,0,1
112,192,113,mixed_composite,0,0,1,0,1
113,114,114,prime,1,1,1,0,1
114,240,115,mixed_composite,0,0,1,0,1
115,144,116,mixed_composite,0,0,1,0,1
116,180,117,mixed_composite,0,0,1,0,1
117,168,118,mixed_composite,0,0,1,0,1
118,180,119,mixed_composite,0,0,1,0,1
119,144,120,mixed_composite,0,0,1,0,1
120,288,121,mixed_composite,0,0,1,0,1
121,132,122,prime_power,0,0,1,0,1
122,186,123,mixed_composite,0,0,1,0,1
123,168,124,mixed_composite,0,0,1,0,1
124,192,125,mixed_composite,0,0,1,0,1
125,150,126,prime_power,0,0,1,0,1
126,288,127,mixed_composite,0,0,1,0,1
127,128,128,prime,1,1,1,0,1
128,192,129,prime_power,0,0,1,0,1
129,176,130,mixed_composite,0,0,1,0,1
130,252,131,mixed_composite,0,0,1,0,1
131,132,132,prime,1,1,1,0,1
132,288,133,mixed_composite,0,0,1,0,1
133,160,134,mixed_composite,0,0,1,0,1
134,204,135,mixed_composite,0,0,1,0,1
135,216,136,mixed_composite,0,0,1,0,1
136,216,137,mixed_composite,0,0,1,0,1
137,138,138,prime,1,1,1,0,1
138,288,139,mixed_composite,0,0,1,0,1
139,140,140,prime,1,1,1,0,1
140,288,141,mixed_composite,0,0,1,0,1
141,192,142,mixed_composite,0,0,1,0,1
142,216,143,mixed_composite,0,0,1,0,1
143,168,144,mixed_composite,0,0,1,0,1
144,288,145,mixed_composite,0,0,1,0,1
145,180,146,mixed_composite,0,0,1,0,1
146,222,147,mixed_composite,0,0,1,0,1
147,224,148,mixed_composite,0,0,1,0,1
148,228,149,mixed_composite,0,0,1,0,1
149,150,150,prime,1,1,1,0,1
150,360,151,mixed_composite,0,0,1,0,1
151,152,152,prime,1,1,1,0,1
152,240,153,mixed_composite,0,0,1,0,1
153,216,154,mixed_composite,0,0,1,0,1
154,288,155,mixed_composite,0,0,1,0,1
155,192,156,mixed_composite,0,0,1,0,1
156,336,157,mixed_composite,0,0,1,0,1
157,158,158,prime,1,1,1,0,1
158,240,159,mixed_composite,0,0,1,0,1
159,216,160,mixed_composite,0,0,1,0,1
160,288,161,mixed_composite,0,0,1,0,1
161,192,162,mixed_composite,0,0,1,0,1
162,324,163,mixed_composite,0,0,1,0,1
163,164,164,prime,1,1,1,0,1
164,252,165,mixed_composite,0,0,1,0,1
165,288,166,mixed_composite,0,0,1,0,1
166,252,167,mixed_composite,0,0,1,0,1
167,168,168,prime,1,1,1,0,1
168,384,169,mixed_composite,0,0,1,0,1
169,182,170,prime_power,0,0,1,0,1
170,324,171,mixed_composite,0,0,1,0,1
171,240,172,mixed_composite,0,0,1,0,1
172,264,173,mixed_composite,0,0,1,0,1
173,174,174,prime,1,1,1,0,1
174,360,175,mixed_composite,0,0,1,0,1
175,240,176,mixed_composite,0,0,1,0,1
176,288,177,mixed_composite,0,0,1,0,1
177,240,178,mixed_composite,0,0,1,0,1
178,270,179,mixed_composite,0,0,1,0,1
179,180,180,prime,1,1,1,0,1
180,432,181,mixed_composite,0,0,1,0,1
181,182,182,prime,1,1,1,0,1
182,336,183,mixed_composite,0,0,1,0,1
183,248,184,mixed_composite,0,0,1,0,1
184,288,185,mixed_composite,0,0,1,0,1
185,228,186,mixed_composite,0,0,1,0,1
186,384,187,mixed_composite,0,0,1,0,1
187,216,188,mixed_composite,0,0,1,0,1
188,288,189,mixed_composite,0,0,1,0,1
189,288,190,mixed_composite,0,0,1,0,1
190,360,191,mixed_composite,0,0,1,0,1
191,192,192,prime,1,1,1,0,1
192,384,193,mixed_composite,0,0,1,0,1
