modulus,element_relabel_sha256,clone_add_table_sha256,clone_mul_table_sha256,source_row_sha256,matched_clone_row_sha256,transport_certificate_sha256,semiring_transport_exact,graph_transport_exact,exact_equal
18,97a968ed8847d03798bf3853a9ca5724ddcdb15f86f21ed3f2b2056dfb185afd,9bffec24fbfb13c28171581df9d1cd63d09586659d83f49c3ad3a69713bfcb0b,aeeecbd7cacb0564ebfb7d6c0c2f1a4ccc2c29091d3869c0d539ef379d798520,032f1535dcd7c0433cde7218b00b736eeba38235be8750b8d833f90d80f5ec90,032f1535dcd7c0433cde7218b00b736eeba38235be8750b8d833f90d80f5ec90,8a46374d42da8a20ac01daa62fff83228ba6b662b301744873a6169237245c46,1,1,1
19,ca0c5743ab28d5a40cf40fb83046399f8a2170be68178cf0265166f1c72796b6,df5631d83246bb1615153507c6b0edda635eb6a3f6708009ff2c47e18d51b3d4,f1fab4d89b7cb0eee620b995d2288e1aa8e9817bf828745113ece251ff5bd8ee,0b7014a8dafb80d7d4372395fd565a6e65ec8271d6301a9d10baf961e13db86f,0b7014a8dafb80d7d4372395fd565a6e65ec8271d6301a9d10baf961e13db86f,c359d71032281670ff3d7e7dd42926a0932e242780fd67a3a0a0c6650937679f,1,1,1
20,d43cd3d1b8469983801ac2a8f3d47166530b38dff9744f637d3f25828ddd57a6,893f00b9c5b75b5d2b1b4b4a1ebec0a6fda17ce453fda1366a1e7f894fa8627a,5689c512ee612de3260c141d5e961181c8f32a6822ada4b2db80aaa25672c5cb,723a4c20f8dd655ad11d75e1263d8dcd58b3fb96860ff51885907858ff7a4905,723a4c20f8dd655ad11d75e1263d8dcd58b3fb96860ff51885907858ff7a4905,105b29b52004d0354c76ac8c0724cd5551f8206382adc3da11a587bc716edd31,1,1,1
21,4383e1798e5cac120dd2afc9ab8e1c0b1933286345ad595960f179364a9439a9,7071027294daff5a0771a8c16f2517a3fd9f6d6ae1b15bf0801d337793256d31,5ded24e1fb452823f7584d061c7f972567d79465bcdebadca9a4ae3d72dec43a,f14305088cb7129549c254b82e6c2fb9e7d4b39f371e05769b784a009d8accdc,f14305088cb7129549c254b82e6c2fb9e7d4b39f371e05769b784a009d8accdc,6e46da04d3a5154aaafb3cb4e427394802d8a552176f6ef4e0c21dc714c27ddd,1,1,1
22,4c7ff98c979a3f360517c49f086d382d6d4b69140c204ec3ae768f787740bbdb,1c237071f64ae61eede654f158737ab1ad8e4954fc806836f85cdd0b148a80af,607af9645847ec060628e4d506faf94226b03d50967a513f39f114b9ecf43256,fb9170181b7e9830aadcc7aa4d860174b20f60fb30a4aca3bc036db5a945bc7b,fb9170181b7e9830aadcc7aa4d860174b20f60fb30a4aca3bc036db5a945bc7b,ea6c1772d7f0d7ef5b4abed279a9e7308b4356824c2fbdc0c96babab3e657ca4,1,1,1
23,a6d6cb0020cb4b29888f1d5b105ea6aad5b8caf48bcc83651d2ac6383ebe2069,706f8ddd1cf859e4701cd2048fe70a95573110c84c8784c20f35ac43d7d626ed,9298512c50febd654d1da2ec997d2899b729e431233151e37522282ef26a2490,eba5953197c606172f3a579e4774cd9be840f88483f7b07b1fa954bbc09b52c2,eba5953197c606172f3a579e4774cd9be840f88483f7b07b1fa954bbc09b52c2,fef097e88b693d078c620beec2283167f9a278778b6005fd984c18456144cbbc,1,1,1
24,1d6fc26738cb874d18f3b1e56168dab4b73bad32d697338173552be015906cf7,2218a33de4a0b72b8cb0d29bd1a8703eb51b06d5c1934669204f3ebb3bda3421,3e40a74b24d48572ce3182ca02ee0b86b69699782546b88e162225ee40b3b472,bfde6862b70a74a6a6b456a339163021ccda3f101d4e052956db8ca67bfbf5a0,bfde6862b70a74a6a6b456a339163021ccda3f101d4e052956db8ca67bfbf5a0,ed30585747fc2acd0e6d7cf061a87c65ccdf9382e24b363bf65cb6c7122a190c,1,1,1
25,b0592dc7f83d8732901d6e1dd180f5430988b198938ceda6deb8096370acdcb1,8490f73d329c1629f159366d3203a9a21b40c93c07426782d25c0654be2510e1,117b19fe2ed488310e5032f2b87f5364f6d9804cb8d5700641c79aa1dce1e652,3fd4efd84a023bd586a66930f86759d14abdd4b599ba975c13a70ec5672ef8e7,3fd4efd84a023bd586a66930f86759d14abdd4b599ba975c13a70ec5672ef8e7,81649862340fbc8eab78a7767154169336f0f92dafa035e48291df47f10f935b,1,1,1
26,e31069ce6c8356b7e4518f43033be28b256ce2aac19786d4324bc046a5f5a907,13174711170bb973138e8db940f8d1bae9936e6297c19f0b1fd32a9a2048dc06,dd9a6ba89ba6af0acf6a36be6e394c7d41da932f6ef8b5efa43a917003f3f6e3,93f400848015b49eda80ba54b72446a88aa018d5e9f48677526c8d3fe0008eeb,93f400848015b49eda80ba54b72446a88aa018d5e9f48677526c8d3fe0008eeb,296e69cfa5f1f44f8c1cde942a2499459e5f7349d740bcf6c277ace173825b5a,1,1,1
27,c8ebb6d9da0dffaa9d379910e73e2f1f5676e70ab4a17eba340c114946410977,c77ebc18fb6b38be5ad1e249a095d2dc31d09a86e77b2d0a4491c6754ee9100c,5a96d7c2aeed38bb0e45f53fe2540675b37017bf85446c3acad1fbf54e84b6d5,bb34f374ce2ffd260057678ada464a42212e437b5efb32c2acbf5111db51b406,bb34f374ce2ffd260057678ada464a42212e437b5efb32c2acbf5111db51b406,02a8d1e2b9c283c995b19e116d1851521df574c0551db58a2f77448d45313f81,1,1,1
28,c73cb1bfaeb907c0aa15cf5bb96460efdda6babd3be23709e6a06b5ad72f227b,286d7a5d5e669749a495f7bc66c40c2ed6fcd403ec3d5de508aa16a96f2151f7,154631fd699e7b1760be401d5ed3a88375e092d4fe4198445c46002d9237fd32,b8ceff23e7c414ee875b92b1b116bb6effee04ddeb17444dd710f80e086783f8,b8ceff23e7c414ee875b92b1b116bb6effee04ddeb17444dd710f80e086783f8,3161bf3ea17e80d331f5f3a5f9b1bc44bde91fc6470afaa3af1bb4ba20f75798,1,1,1
29,602f6fdd0596f3632d89e293a7640d0d66e21485c4e8cafe84314e6bde1b796e,eb3379ec9c2d059e698edc8fa05f52fbed2384e7e634a3e2167870c8bac357ee,dbdb35ee9ba6cfd98ab8f09ceeba567f1d44011d35069af752e30429f342b489,f2c1fbb8869ace2ce9db75ad3c5da963108c41907f52da290ec0c7a9a3c3574c,f2c1fbb8869ace2ce9db75ad3c5da963108c41907f52da290ec0c7a9a3c3574c,8fcc261251b689533ef75f9f99ebff35dddbd6c4c8347cc97082e2a8c7504c47,1,1,1
30,49b1446fb8402c4114a866de94428d36a52d79bb031d5914895682d8b840d06b,04c8e6d92bfa79ca9825c697434462171e1e671c0b533e8f9f961de6a78fd031,86e5a5b6defcb8db52356f581eecccb74a723d663bbd516d2ecaf1197b10707d,248d98cf8d921d08f1a5941aff38723f7e4168594ef7fdf27cdfb0d7ee594358,248d98cf8d921d08f1a5941aff38723f7e4168594ef7fdf27cdfb0d7ee594358,faea61a0954e0abc257782a7492ac3c9201a309af34ebe847ccc654537399dec,1,1,1
31,f4a40848802cfce511c1d2a132fd46988ae6dbf331da6de0b7645dec1c1f8d06,cb3da9081def5bd26dd42aaa3ac2b041acd5f77aa0ee35337c09946f20b3c400,0fe5fdd57861bb87ab10174f7dea3ce7d82248d482955097008f4fc1ff8549c6,1ce0bd4615d63cd4109a53d73a2efc845234bf57bfdc018996898683e519826b,1ce0bd4615d63cd4109a53d73a2efc845234bf57bfdc018996898683e519826b,96279641252e175528bedf10916b43828e4d3ab683e54e35d85b1bd02d19b787,1,1,1
32,af3a5600795664d9a6ece3e9dd84f8118d085319a4462230081b7a24a7840744,fbbb92751ce607f783d7530ce23ddc85f3cc9c483530c0bce8cff6ac229fa6e2,4235d905116f7166db8a7a499573bd48d1d76ac90bf5569d767da896b4cd4e59,0d0433ff1c565b720e18ca845f65a8e05444208279ac1eee4e0d8c961819de0b,0d0433ff1c565b720e18ca845f65a8e05444208279ac1eee4e0d8c961819de0b,3399bceac7346509735bb82b3b801ca2a2e51418bd26e52267b68d85955972fb,1,1,1
33,15be74887b9b29c1c6fb693adb18cb91c1b1125a1ba9fb2212d468b73e32e307,7c05f2412320eb06f9fe5e8ea53b36233392bba3f0ee06c10d6b816a665ad1d5,50d5b8dc45894fec3cb315afb218f8207fe59e50b7905873ad5241434bfe8fae,a0e8e3b165a4853e23766b111382f2ea87c9253afefd536f89661864ab65b10d,a0e8e3b165a4853e23766b111382f2ea87c9253afefd536f89661864ab65b10d,70a8c668a1d4e839d01029bf8b65466e1d89000ff18aff778d96605b68d41d87,1,1,1
34,0862a612caaac1c80ffe641bc1547605d178b3a5e890ff696805743ef250afed,d0186b66150f0c3a9e946c7e1597f6dba7255060d0da74a2081d1f14efe2dc5c,364cc42a09c292e7023e87e687ff91e8b6782dcbe52948409d8ce70f5e1365d8,10c3826a4b62302e3729c930b6ab7fb5dfc5cf5ba07ee79cc823a331a617e4dc,10c3826a4b62302e3729c930b6ab7fb5dfc5cf5ba07ee79cc823a331a617e4dc,3c844c347f3009bad3c9eb0484dffb7d842732becb51a87f5be246b66ff99d95,1,1,1
35,6728cfda726230ac07b0e95220c0ef3363da0e7446f56c62cafeb6bd2806fc33,918d983338e225aca9a42e3b70f23e0447a29a0f9855731260bba2cda69900d7,28af7d5fd770d82d6abbe207aa1584d493fcaa7586ecee0f3b24215345916a50,03d3c6321e7d022f51d4df40c5ec2c9d5aaffd9d3f1fb2ed62a2ba15481156e5,03d3c6321e7d022f51d4df40c5ec2c9d5aaffd9d3f1fb2ed62a2ba15481156e5,97596daff901a20b8dae47ab541cb222e0af6d1147c9324e4dbc96e0f1a343e2,1,1,1
36,9bd83ca33bf550c8baf35856d8c36d9f9beae207f969c93d7a44c6528efeacb8,aaff3413fe4ef5fb5b892894945c5a86ad108075e5e282da369812de9de01606,a9736d2d26900e568e90e2b120525607728d3ae0e4fe6e0b64142be2dd98da7d,ea777570e5816e864373f20ee54c954458cb14eac959089dd5420b620514c8f4,ea777570e5816e864373f20ee54c954458cb14eac959089dd5420b620514c8f4,7d21f68e5f07f6a1b2a6cac78d36244d01f143d483c6890dcbd5e2eefb6a7bf7,1,1,1
37,d4c8934d280da644cc4ebe162d16e6bd23ba2f63df2cd663d60f1d9e4f7716b8,de94b09cf38925bc77afb3926db7bf3d7a08d813cc2b13f7924f73c6bd03eaf0,59603476bdbbf7dae6e43cfd5df8e138bfcc5803a64a7cafab6ed6c2c28bfab2,0290c8363654deb47a232ba566e2adbd5a033e0c1fd2363b2490f834fc34ea54,0290c8363654deb47a232ba566e2adbd5a033e0c1fd2363b2490f834fc34ea54,510a3df91e512922ddfe200cf3f0bdc003b18b7990a95fec1c28ff7355536413,1,1,1
38,7c88400ef453a1c46a3ef11d705e8d40b669bf3a67cc10088680feb4ff126166,83081a490da14731d700ca2de9af6d7221a1af319b2c6dbd611debed8fe1d2bf,7fa050def553cd88560b4ba1b70f7f27cd7a97d9dd9225d018e928f0fee510f8,f583be53fd5e3952c274ce8598567f902a161d5ca5f23ad043efd88d38b67ff0,f583be53fd5e3952c274ce8598567f902a161d5ca5f23ad043efd88d38b67ff0,b79bca9de567eab58d8cae6b3b002d309a36078eab4ed3166185f35044f44ce8,1,1,1
39,9406527e2b86a2698a44df4b5c303c8346521d148e1fbd33593aedccc4112370,e5cd65b3cf9e87d2c0dd25ee3c70db0c18c8a17cfbc40999e281d8d1afb7fafb,707346b7f17b92967181bd86ad2807107f71f23900e5d07e7d32b336eba901a6,4ccd9de371069d39418e711edc0856a4b6caaae0ce022019d8fb4318f3dae1a3,4ccd9de371069d39418e711edc0856a4b6caaae0ce022019d8fb4318f3dae1a3,62f8a064297f77559790a285a74b513cb9385ee15653ad8961a4be52982ebe97,1,1,1
40,08756976b811e9ad332f29037c1e0525fe005b3c356182aaa3358c7cc7e657c8,5220a7a03cd5bbef6380bada699a13ece7d28c74650c0f285e06ff8b77aa11f3,e78b85c5939f79cb78b86bd573dc4138eafa89ad44853b9d19973d6385debd2d,e95f7d43bc7812f158a6be9042b774877964ccc773a00fa78e7b3f203029ce80,e95f7d43bc7812f158a6be9042b774877964ccc773a00fa78e7b3f203029ce80,82a7eb5dcdb2d61ad269bf681889355422fd848c2c08b62fb933c3e234b7b7a0,1,1,1
41,c01f72bd5ef2aa64cf092c4406019c8c02fb677bf0ae3ac3ccbc7a035890b312,b271f9724093eccb1c3361c10e60b0850d25557693399f252b57de1b5e3bae9a,51d8c5be26de07af17e450a475457afe0f1343ffde01bbf763ff5cb39ed5bcaf,8452a917b51ac10a84169a7f6b4f4286a9443afc438fef5db357f34e26e9d928,8452a917b51ac10a84169a7f6b4f4286a9443afc438fef5db357f34e26e9d928,acda98f3e9131f5962335028dc46aea390c48f6e5af49a8b7468d0ab71920c19,1,1,1
42,abb95e970ca5000cdaf32205e0059d438f8245fba53682a7eeb69f6e3e5fd990,a8944a2cac8ef4277088f49c66f2d1eaf6ad61c2f0955feab2057f744985710b,aba83c874152c79f2cca8becad5e2d81207d4732e0abf70f6ffcf4d86752ecae,4028caf0359dd95aaba6f28e192765b5d876b2869aa235e17c468ac7c0c6548d,4028caf0359dd95aaba6f28e192765b5d876b2869aa235e17c468ac7c0c6548d,ad9035ad171cadc43c1f94bbb0362a1f9923e32c7ae920902726d69c6e889d9f,1,1,1
43,a0a5ed7b0fc3e15d68942101aa646fd8a1ad54913ffbcd8c97ce9f44090a6f4e,57f15027062717b4f247724ce6dd27b10eac16eae4907d327368343bada0abe1,910a19d2b4281fa6899007ced7f6176803d639a8863c91c7472d27722c30825e,eabfa8589fd4768b3ad4a05fb20beebc81261e5f7a4987f23a06c0ae9300e18a,eabfa8589fd4768b3ad4a05fb20beebc81261e5f7a4987f23a06c0ae9300e18a,02d19872da4955524fe36fe4bdfa38d6ca55169986ebb651945c4b81e16b0245,1,1,1
44,5e6bd20817efa18d8ef900709e33666d58cc8a872ef1e400d93fe37072cf11d5,c8189f6e300d0678d4f98d7409f6f0e4482cd4d9318d0b8ec8c05f05f63ab5ad,86e72fb003a0387f6b7e1729d853804a12b6227e1be7975bcff9311dc1572e89,700a059eb812afc539c81b417d9b1d27779abde3d14e64201eb37e2859e07b4f,700a059eb812afc539c81b417d9b1d27779abde3d14e64201eb37e2859e07b4f,38aeccf4e002cbc4e4db71496bff1a26dfc44bf45275033d055edb52bd30d39c,1,1,1
45,b55ba408c4c5b0816b5bb63d69ff5dc2207862e3cf4957ef2e400d2cf6f24eed,16404e0c9cd730dbbbcbcbbf76ead959d7236ddcaec2d7de8d0f2db28df679a3,893841b1278be46382eb756e52ccbc8a41b205f6aae1e5ee5d6c2592e214f941,2f23bf409102f3efd38294f76e280b854e008beb9e2713bf32cbbfb1dfe5af8d,2f23bf409102f3efd38294f76e280b854e008beb9e2713bf32cbbfb1dfe5af8d,916388269ffbbb331d1835542cd7ba05e62bb95cd11e065e411764818cc826bc,1,1,1
46,c1b2f26dc8465de6c1cbfc3aca382b0804ca160e3d2500d86f2ffe4f755eb83d,2fc802488fbb22ec38fb71a61fb562778b40605cec882bd7bb26e095d6b33b31,68c9de1ac36b63587d5ca0add270e0078877dff6fa521080d034da03e6040664,1ee10765dd63a1a6202e249c7108336e621379c4feccf3664dc695f90b6bd8c6,1ee10765dd63a1a6202e249c7108336e621379c4feccf3664dc695f90b6bd8c6,50a1ec9c5b10cde9a2e3b91ca75baa812360eeb8438d203649b87c7bbd5b967a,1,1,1
47,8c49d8aaa735d83f20e0b688b37516e782f700baaab5fa45a3cf3be0b31f60fc,2a1a021ea598cf317c6281051f45f29adafcea10af4e00a40ae9ea4091d1a8ab,b5ec3049d8747977c7b4236d6c6dcad5d5abb257f9b1c2b07f15c402ac602fff,58048f0f2e5e78c8971dfa3ef7bc9d9b662f4fd4dd298fa82017dfde212ffff4,58048f0f2e5e78c8971dfa3ef7bc9d9b662f4fd4dd298fa82017dfde212ffff4,8b24a87e799ac7210c35c58ec7db037b1e23ea59c95e11dc8dc5b2a1537093cd,1,1,1
48,2c87cebac63a1d0458fea5ad64c10c6de1f6ae0711adac4f5f79906285d467d0,764069e8b584883c88252485b4732f38d26186b21f48e2bf71660a2e862332da,72cd7ef69d1b0345134e3fa13c29db5c109e7d47acdf5102229fbee5ce60a117,310a9e555c04812da2523ebf9d55ca3a6d0be6f0997d94b8b0e90c39d11e197b,310a9e555c04812da2523ebf9d55ca3a6d0be6f0997d94b8b0e90c39d11e197b,b4acdc43b725a227dd5d4863219ec1b841202975e0e03a3d28252d219f906e59,1,1,1
49,8c3fe553cc6d7202a16239d942fcaaa51e92b1cd632ef9c0adf2bb14dd669791,0fe7f0d6b631f6b44335a5b32c63a457a31ee73b2d6b9f1fa282b15931ef334f,2eecc9021c46ee5779cb03dd84c67c89295892d4e940838559a0cda4657a2669,c71dc57a864dcb7af69a48269898917bcd6bd3b201bd8d576f4b913a0280ae75,c71dc57a864dcb7af69a48269898917bcd6bd3b201bd8d576f4b913a0280ae75,e8b0327aae66bd0ce0a70b7fea92a16c0ff6661164149312e5d70f525aa6a0e8,1,1,1
50,4497bac4566b793ef81b67d34955c0ef535cafaa8f2ebf66506c276ceeb70485,35cf8b7bba3e65c015b2a9662d7b0d8b3098d917ec809d50c936a718e249f090,cec6b2d15564ab721a9aab1db56bcec7ea014640e7d727a8d5045927621e12f0,a31d7e503a3d9626866de743409caa617b8d121392d533baa908f8f1474dc40c,a31d7e503a3d9626866de743409caa617b8d121392d533baa908f8f1474dc40c,4fff4a96dd318a8c4f29ad1aaa42f5a4c4324565db2a333c94cb2d484fe02812,1,1,1
51,71c40aa071935dd8f0afb45419b8990531fff4cabd1d5d45ac8b866afbe182cd,abd9d2b18f146183c01d938e19105199c97db76619b3dbf3d656421b9d135b7a,b190da15963d3f09e9d139299778114495e541c26644b988aff61f8d38884dcb,8caa451bbbaedb14adc9f41a494d3c480c3ff15276b545585ca5317d18872f52,8caa451bbbaedb14adc9f41a494d3c480c3ff15276b545585ca5317d18872f52,490a850346f329187714a2f7784200361453f70cc9eed65c6d43cc0cbf2849a1,1,1,1
52,e82249a6e218289bd2dc8d26ae9038f87bf2c799a5eacb104ef6f51de2e28389,47a12a12ff9248ec5f142a69320624999692cb76695c78ddc04b6366da7372d9,ff5461648fba40ba69d013eb5c190055777d487aeafd2b685f1920c0f9e8b838,9f7b1c87949cb0fcbb170aa041110c56d9b1d9abdd66f83b74de18c16ba68b2c,9f7b1c87949cb0fcbb170aa041110c56d9b1d9abdd66f83b74de18c16ba68b2c,93dbd6668b8ca1a00f5eff01e3cc6253f2c9c745397b2655de827e3b3250dd20,1,1,1
53,4db9793fe4d2e7ed625aa06514ce0f48eabb09ee4f1f61bfd45680c035a4e9aa,ea66c492946f683bfb93cdb657fd40dbd162618616477008d326fd90e41e41d1,53e2f8275de0416c49933074865d28570c21ca95b7cbab6cef54578f623e2e01,a8dd921949a495b7df9d6df6a6a834a035a03a41a902de45ba7ff754cfa18096,a8dd921949a495b7df9d6df6a6a834a035a03a41a902de45ba7ff754cfa18096,c49c4a44843d04441d844138da5661f1618eb36c3a64e664b4aaaa7797a3267e,1,1,1
