prime_cutoff,prime_count,sigma,mass_model,finite_log_product,absolute_first_return_mass
10000,1229,1.5,reciprocal,0.32327010994592109,0.27368067072182589
10000,1229,1.5,mod4_sign,-0.18730708915362643,0.49418724790167956
10000,1229,2.25,unit,0.37858074074010711,0.34855876194160029
10000,1229,2.25,decay_half,0.23828080617707623,0.21767085604328659
10000,1229,2.25,growth_linear,1.3767838736067983,1.3112681695538428
10000,1229,2.25,reciprocal,0.1555603153424287,0.14132430638110335
10000,1229,2.25,mod4_sign,-0.075412319651849857,0.13833465812817222
100000,9592,0.75,unit,10.395149766846338,9.7745131924025799
100000,9592,0.75,decay_half,1.680439395645126,1.3283341963145598
100000,9592,0.75,growth_linear,133392.59086194157,133356.92871940177
100000,9592,0.75,reciprocal,0.82421831620139674,0.60405059558020313
100000,9592,0.75,mod4_sign,-0.65816991348589715,9.1799096349012252
100000,9592,1.0,unit,3.0209902299752587,2.7052721790472809
100000,9592,1.0,decay_half,1.0456721003447269,0.84908679423693778
100000,9592,1.0,growth_linear,9593.5727260768144,9592
100000,9592,1.0,reciprocal,0.58005769156281817,0.45224661779205561
100000,9592,1.0,mod4_sign,-0.39658436465237096,2.2052721790472711
100000,9592,1.25,unit,1.5097627171276988,1.3283341963145598
100000,9592,1.25,decay_half,0.72174268328110303,0.60405059558020313
100000,9592,1.25,growth_linear,751.61439797306957,751.08904579227658
100000,9592,1.25,reciprocal,0.42681211968827026,0.34855952359882186
100000,9592,1.25,mod4_sign,-0.26555174151130395,0.9078859886877001
100000,9592,1.5,unit,0.95978401334406849,0.84908679423693778
100000,9592,1.5,decay_half,0.52574837774838146,0.45224661779205572
100000,9592,1.5,growth_linear,70.327222056546788,70.050506565315146
100000,9592,1.5,reciprocal,0.32327017548550435,0.27368073626139267
100000,9592,1.5,mod4_sign,-0.18731556716411349,0.49553340364365789
100000,9592,2.25,unit,0.3785815023973288,0.34855952359882186
100000,9592,2.25,decay_half,0.23828081190602052,0.21767086177223088
100000,9592,2.25,growth_linear,1.3938499003695723,1.3283341963145603
100000,9592,2.25,reciprocal,0.15556031538792245,0.1413243064265971
100000,9592,2.25,mod4_sign,-0.075412327117236611,0.13833541978539113
