prime,repetition,mass_model,packet_mass,minus_log_derivative_term_at_s_1
11,5,unit,1,1.488904305343258e-05
11,5,decay_half,0.30151134457776363,4.4892153905166684e-06
11,5,growth_linear,11,0.00016377947358775838
13,1,unit,1,0.19730379672781054
13,1,decay_half,0.27735009811261457,0.054722227380449615
13,1,growth_linear,13,2.5649493574615372
13,2,unit,1,0.015177215132908501
13,2,decay_half,0.27735009811261457,0.0042094021061884314
13,2,growth_linear,13,0.19730379672781051
13,3,unit,1,0.0011674780871468078
13,3,decay_half,0.27735009811261457,0.00032380016201449477
13,3,growth_linear,13,0.015177215132908503
13,4,unit,1,8.9806006703600606e-05
13,4,decay_half,0.27735009811261457,2.4907704770345748e-05
13,4,growth_linear,13,0.0011674780871468078
13,5,unit,1,6.9081543618154311e-06
13,5,decay_half,0.27735009811261457,1.9159772900265959e-06
13,5,growth_linear,13,8.9806006703600606e-05
17,1,unit,1,0.16665960847389508
17,1,decay_half,0.24253562503633297,0.040420892309526675
17,1,growth_linear,17,2.8332133440562162
17,2,unit,1,0.0098035063808173568
17,2,decay_half,0.24253562503633297,0.0023776995476192165
17,2,growth_linear,17,0.16665960847389508
17,3,unit,1,0.00057667684593043272
17,3,decay_half,0.24253562503633297,0.00013986467927171861
17,3,growth_linear,17,0.0098035063808173568
17,4,unit,1,3.3922167407672514e-05
17,4,decay_half,0.24253562503633297,8.2273340748069765e-06
17,4,growth_linear,17,0.00057667684593043283
17,5,unit,1,1.9954216122160303e-06
17,5,decay_half,0.24253562503633297,4.839608279298222e-07
17,5,growth_linear,17,3.3922167407672514e-05
19,1,unit,1,0.15497047258770738
19,1,decay_half,0.22941573387056177,0.035552664696976662
19,1,growth_linear,19,2.9444389791664398
19,2,unit,1,0.0081563406625109157
19,2,decay_half,0.22941573387056177,0.0018711928787882456
19,2,growth_linear,19,0.15497047258770738
19,3,unit,1,0.00042928108750057444
19,3,decay_half,0.22941573387056177,9.8483835725697127e-05
19,3,growth_linear,19,0.008156340662510914
19,4,unit,1,2.2593741447398658e-05
19,4,decay_half,0.22941573387056177,5.1833597750366914e-06
19,4,growth_linear,19,0.00042928108750057449
19,5,unit,1,1.1891442867051925e-06
19,5,decay_half,0.22941573387056177,2.7280840921245743e-07
19,5,growth_linear,19,2.2593741447398655e-05
23,1,unit,1,0.13632583547518043
23,1,decay_half,0.20851441405707477,0.028425901704948422
23,1,growth_linear,23,3.1354942159291492
23,2,unit,1,0.005927210238051323
23,2,decay_half,0.20851441405707477,0.0012359087697803662
23,2,growth_linear,23,0.1363258354751804
23,3,unit,1,0.00025770479295875317
23,3,decay_half,0.20851441405707477,5.3735163903494184e-05
23,3,growth_linear,23,0.0059272102380513222
23,4,unit,1,1.1204556215597963e-05
23,4,decay_half,0.20851441405707477,2.3363114740649643e-06
23,4,growth_linear,23,0.00025770479295875311
23,5,unit,1,4.871546180694767e-07
23,5,decay_half,0.20851441405707477,1.0157875974195499e-07
23,5,growth_linear,23,1.1204556215597963e-05
29,1,unit,1,0.11611364930987841
29,1,decay_half,0.18569533817705186,0.021561763375569476
29,1,growth_linear,29,3.3672958299864741
29,2,unit,1,0.0040039189417199455
29,2,decay_half,0.18569533817705186,0.00074350908191618873
29,2,growth_linear,29,0.1161136493098784
29,3,unit,1,0.00013806617040413604
29,3,decay_half,0.18569533817705186,2.5638244204006508e-05
29,3,growth_linear,29,0.0040039189417199455
29,4,unit,1,4.7609024277288295e-06
29,4,decay_half,0.18569533817705186,8.8407738634505206e-07
29,4,growth_linear,29,0.00013806617040413604
29,5,unit,1,1.6416904923202859e-07
29,5,decay_half,0.18569533817705186,3.0485427115346629e-08
29,5,growth_linear,29,4.7609024277288295e-06
