form,index,window,target,predicted,residual,percent_error
Q,187,postfreeze-evaluation,376.32409223066804,356.3583223090845,-19.965769921583558,5.305472153865059
Q,188,postfreeze-evaluation,378.4366802499655,356.41613067392404,-22.020549576041446,5.818820089399475
Q,189,postfreeze-evaluation,379.87297534653237,356.4523807151198,-23.420594631412598,6.1653753100092406
Q,190,postfreeze-evaluation,381.4844686171865,357.0404630797884,-24.444005537398084,6.407601763186655
Q,191,postfreeze-evaluation,383.44352944953647,357.329343247113,-26.11418620242347,6.810438616583895
Q,192,postfreeze-evaluation,384.95611681486366,360.4808206441938,-24.47529617066988,6.357944477718417
Q,193,postfreeze-evaluation,385.86130084597426,360.5316033521073,-25.329697493866945,6.564456564660237
Q,194,postfreeze-evaluation,387.222890222388,360.9260199729736,-26.296870249414383,6.791145594288522
Q,195,postfreeze-evaluation,388.84612835423223,361.2850145856837,-27.561113768548523,7.0879228977280215
Q,196,postfreeze-evaluation,391.45608356363806,363.0531819934283,-28.402901570209735,7.255705751624203
Q,197,postfreeze-evaluation,392.2450833395191,364.28857847103825,-27.956504868480863,7.12730536491704
Q,198,postfreeze-evaluation,393.427743844434,366.9182469088368,-26.509496935597213,6.7380852902126245
Q,199,postfreeze-evaluation,395.5828700109937,368.1888792528014,-27.393990758192274,6.924968909151947
Q,200,postfreeze-evaluation,396.3818542225922,369.9875704932937,-26.394283729298536,6.658802225208968
S,1,train,14.1347,14.1347,0.0,0.0
S,2,train,21.022,16.78167817660451,-4.240321823395487,20.170877287581995
S,3,train,25.0108,25.090853200747368,0.08005320074736844,0.3200745307921715
S,4,train,30.4248,29.60501997419763,-0.8197800258023697,2.6944467204463782
S,5,train,32.935,35.365979162309586,2.4309791623095833,7.381142135447345
S,6,train,37.5861,36.71952742200861,-0.8665725779913913,2.305566627001448
S,7,train,40.9187,40.97551400927927,0.056814009279271716,0.13884607594882464
S,8,train,43.327,42.193058032961915,-1.1339419670380835,2.6171716644080676
S,9,train,48.0051,42.902239833405325,-5.102860166594674,10.629829261046584
S,10,train,49.7738,46.92272150944625,-2.8510784905537534,5.728070773285852
S,11,train,52.9703,54.14544619300574,1.1751461930057374,2.218500165197738
S,12,train,56.4462,54.3879543423956,-2.0582456576043953,3.64638480111043
S,13,train,59.347,58.687774710343156,-0.6592252896568453,1.1107980010056875
