cutoff_k,observable,grid_id,sigma,tau,seed_count,seeds,abs_value_mean,abs_value_std_population,successive_drift_mean,successive_drift_std_population,successive_drift_min,successive_drift_max
22,mobius,R300,3.0,0.0,1,none,0.748622039150394,0.0,0.00010699648896139724,0.0,0.00010699648896139724,0.00010699648896139724
22,mobius,R400,4.0,0.0,1,none,0.904709366963474,0.0,1.3709803112771368e-06,0.0,1.3709803112771368e-06,1.3709803112771368e-06
22,random_state_sign,C160_3,1.6,3.0,3,2026081201;2026081202;2026081203,0.8747317590315326,0.15360344202550397,1.6302141149472849,0.4744235260194224,1.016972237994941,2.1725622757059653
22,random_state_sign,C160_9,1.6,9.0,3,2026081201;2026081202;2026081203,1.0048192165623222,0.5150297725180719,2.3554750968519023,0.892131472541806,1.1219309468915717,3.2016474094592358
22,random_state_sign,C175_5,1.75,5.0,3,2026081201;2026081202;2026081203,1.0044640626167822,0.1614781935455709,1.2328922153884687,0.29145052153446693,0.8333643003050291,1.520395523029668
22,random_state_sign,C190_11,1.9,11.0,3,2026081201;2026081202;2026081203,1.1483804285362338,0.15183567645295465,1.6798818064485463,0.7050503867134152,0.7177959951890626,2.3877225086658873
22,random_state_sign,C225_1,2.25,1.0,3,2026081201;2026081202;2026081203,1.1415768178551426,0.11606208581734813,1.5878432996238476,1.0384337805099502,0.12140222141084694,2.3894743485471888
22,random_state_sign,C225_7,2.25,7.0,3,2026081201;2026081202;2026081203,1.1126941864581341,0.043426271415830824,1.7795693874603842,0.6097511489673567,0.9180004260383472,2.2414808506164143
22,random_state_sign,C275_3,2.75,3.0,3,2026081201;2026081202;2026081203,0.9397566561126075,0.04610868896112029,1.3656057791604663,0.7665124486770346,0.2835310868592484,1.9627481266586702
22,random_state_sign,C325_11,3.25,11.0,3,2026081201;2026081202;2026081203,1.0331778315771214,0.014603725702255087,1.4376784284654436,0.8460488459877564,0.2420317885765688,2.0744864773130542
22,random_state_sign,R160,1.6,0.0,3,2026081201;2026081202;2026081203,1.0636712957791976,0.6699114686479081,2.2209628047107675,1.0472893334528133,0.7635725285351405,3.178202487969986
22,random_state_sign,R175,1.75,0.0,3,2026081201;2026081202;2026081203,1.0853337625408417,0.5351467886952039,2.0629942479782186,1.059066344084983,0.5774892407096797,2.9712412735622205
22,random_state_sign,R190,1.9,0.0,3,2026081201;2026081202;2026081203,1.0969750379964436,0.43106466902993423,1.9415695411476783,1.062153305214983,0.4453286943041209,2.8045897550232484
22,random_state_sign,R200,2.0,0.0,3,2026081201;2026081202;2026081203,1.1004583118006095,0.37553097235116145,1.8763203451070343,1.0606855669419637,0.37974436612379714,2.7127903181682393
22,random_state_sign,R2125,2.125,0.0,3,2026081201;2026081202;2026081203,1.101253067959435,0.3185528056153214,1.8084205683679258,1.0560565091900604,0.3166308357810633,2.6160047466639833
22,random_state_sign,R250,2.5,0.0,3,2026081201;2026081202;2026081203,1.0899732297910862,0.20483363640347937,1.6662908377428625,1.0328418490074769,0.20574311992441274,2.4121756086454385
22,random_state_sign,R300,3.0,0.0,3,2026081201;2026081202;2026081203,1.0656890645288954,0.1254899784040045,1.555592135581905,1.0004352322058316,0.14077242513089638,2.2674596749144156
22,random_state_sign,R400,4.0,0.0,3,2026081201;2026081202;2026081203,1.0300164341935412,0.056330381205922146,1.4429905700356205,0.9626236261531278,0.08165477562032486,2.129983779492647
22,symbolic_parity,C160_3,1.6,3.0,1,none,1.2162728954186695,0.0,0.04496123471024193,0.0,0.04496123471024193,0.04496123471024193
22,symbolic_parity,C160_9,1.6,9.0,1,none,0.6547337088411312,0.0,0.025631329365266155,0.0,0.025631329365266155,0.025631329365266155
22,symbolic_parity,C175_5,1.75,5.0,1,none,1.1899711181584183,0.0,0.01587156310468667,0.0,0.01587156310468667,0.01587156310468667
22,symbolic_parity,C190_11,1.9,11.0,1,none,1.2357798178304964,0.0,0.001181008752310684,0.0,0.001181008752310684,0.001181008752310684
22,symbolic_parity,C225_1,2.25,1.0,1,none,0.8499249836401537,0.0,0.0011513348919732378,0.0,0.0011513348919732378,0.0011513348919732378
