edge_id,r,origin_b,origin_k,token_forward,target_b,target_k,token_reverse,length,closed,primitive,immediate_backtrack,hashimoto_allowed
83,4,8,1,V+,8,2,V-,2,True,True,True,False
84,4,8,2,U+,24,2,U-,2,True,True,True,False
85,4,8,2,V+,8,3,V-,2,True,True,True,False
86,4,8,3,U+,72,3,U-,2,True,True,True,False
87,4,8,3,V+,8,4,V-,2,True,True,True,False
88,4,8,4,U+,264,4,U-,2,True,True,True,False
89,4,8,4,V+,8,5,V-,2,True,True,True,False
90,4,9,0,U+,10,0,U-,2,True,True,True,False
91,4,9,0,V+,9,1,V-,2,True,True,True,False
92,4,9,1,U+,13,1,U-,2,True,True,True,False
93,4,9,1,V+,9,2,V-,2,True,True,True,False
94,4,9,2,U+,25,2,U-,2,True,True,True,False
95,4,9,2,V+,9,3,V-,2,True,True,True,False
96,4,9,3,U+,73,3,U-,2,True,True,True,False
97,4,9,3,V+,9,4,V-,2,True,True,True,False
98,4,9,4,U+,265,4,U-,2,True,True,True,False
99,4,9,4,V+,9,5,V-,2,True,True,True,False
100,4,10,0,U+,11,0,U-,2,True,True,True,False
101,4,10,0,V+,10,1,V-,2,True,True,True,False
102,4,10,1,U+,14,1,U-,2,True,True,True,False
103,4,10,1,V+,10,2,V-,2,True,True,True,False
104,4,10,2,U+,26,2,U-,2,True,True,True,False
105,4,10,2,V+,10,3,V-,2,True,True,True,False
106,4,10,3,U+,74,3,U-,2,True,True,True,False
107,4,10,3,V+,10,4,V-,2,True,True,True,False
108,4,10,4,U+,266,4,U-,2,True,True,True,False
109,4,10,4,V+,10,5,V-,2,True,True,True,False
110,4,11,0,U+,12,0,U-,2,True,True,True,False
111,4,11,0,V+,11,1,V-,2,True,True,True,False
112,4,11,1,U+,15,1,U-,2,True,True,True,False
113,4,11,1,V+,11,2,V-,2,True,True,True,False
114,4,11,2,U+,27,2,U-,2,True,True,True,False
115,4,11,2,V+,11,3,V-,2,True,True,True,False
116,4,11,3,U+,75,3,U-,2,True,True,True,False
117,4,11,3,V+,11,4,V-,2,True,True,True,False
118,4,11,4,U+,267,4,U-,2,True,True,True,False
119,4,11,4,V+,11,5,V-,2,True,True,True,False
120,4,12,0,U+,13,0,U-,2,True,True,True,False
121,4,12,0,V+,12,1,V-,2,True,True,True,False
122,4,12,1,U+,16,1,U-,2,True,True,True,False
123,4,12,1,V+,12,2,V-,2,True,True,True,False
124,4,12,2,U+,28,2,U-,2,True,True,True,False
125,4,12,2,V+,12,3,V-,2,True,True,True,False
126,4,12,3,U+,76,3,U-,2,True,True,True,False
127,4,12,3,V+,12,4,V-,2,True,True,True,False
128,4,12,4,U+,268,4,U-,2,True,True,True,False
129,4,12,4,V+,12,5,V-,2,True,True,True,False
130,2,0,0,U+,1,0,U-,2,True,True,True,False
131,2,0,0,V+,0,1,V-,2,True,True,True,False
132,2,0,1,U+,2,1,U-,2,True,True,True,False
133,2,0,1,V+,0,2,V-,2,True,True,True,False
134,2,0,2,U+,4,2,U-,2,True,True,True,False
135,2,0,2,V+,0,3,V-,2,True,True,True,False
136,2,0,3,U+,8,3,U-,2,True,True,True,False
137,2,0,3,V+,0,4,V-,2,True,True,True,False
138,2,0,4,U+,16,4,U-,2,True,True,True,False
139,2,0,4,V+,0,5,V-,2,True,True,True,False
140,2,1,0,U+,2,0,U-,2,True,True,True,False
141,2,1,0,V+,1,1,V-,2,True,True,True,False
142,2,1,1,U+,3,1,U-,2,True,True,True,False
143,2,1,1,V+,1,2,V-,2,True,True,True,False
144,2,1,2,U+,5,2,U-,2,True,True,True,False
145,2,1,2,V+,1,3,V-,2,True,True,True,False
146,2,1,3,U+,9,3,U-,2,True,True,True,False
147,2,1,3,V+,1,4,V-,2,True,True,True,False
148,2,1,4,U+,17,4,U-,2,True,True,True,False
149,2,1,4,V+,1,5,V-,2,True,True,True,False
150,2,2,0,U+,3,0,U-,2,True,True,True,False
151,2,2,0,V+,2,1,V-,2,True,True,True,False
152,2,2,1,U+,4,1,U-,2,True,True,True,False
153,2,2,1,V+,2,2,V-,2,True,True,True,False
154,2,2,2,U+,6,2,U-,2,True,True,True,False
155,2,2,2,V+,2,3,V-,2,True,True,True,False
156,2,2,3,U+,10,3,U-,2,True,True,True,False
157,2,2,3,V+,2,4,V-,2,True,True,True,False
158,2,2,4,U+,18,4,U-,2,True,True,True,False
159,2,2,4,V+,2,5,V-,2,True,True,True,False
160,2,3,0,U+,4,0,U-,2,True,True,True,False
161,2,3,0,V+,3,1,V-,2,True,True,True,False
162,2,3,1,U+,5,1,U-,2,True,True,True,False
163,2,3,1,V+,3,2,V-,2,True,True,True,False
164,2,3,2,U+,7,2,U-,2,True,True,True,False
165,2,3,2,V+,3,3,V-,2,True,True,True,False
166,2,3,3,U+,11,3,U-,2,True,True,True,False
167,2,3,3,V+,3,4,V-,2,True,True,True,False
168,2,3,4,U+,19,4,U-,2,True,True,True,False
169,2,3,4,V+,3,5,V-,2,True,True,True,False
170,2,4,0,U+,5,0,U-,2,True,True,True,False
171,2,4,0,V+,4,1,V-,2,True,True,True,False
172,2,4,1,U+,6,1,U-,2,True,True,True,False
173,2,4,1,V+,4,2,V-,2,True,True,True,False
174,2,4,2,U+,8,2,U-,2,True,True,True,False
175,2,4,2,V+,4,3,V-,2,True,True,True,False
176,2,4,3,U+,12,3,U-,2,True,True,True,False
177,2,4,3,V+,4,4,V-,2,True,True,True,False
178,2,4,4,U+,20,4,U-,2,True,True,True,False
179,2,4,4,V+,4,5,V-,2,True,True,True,False
180,2,5,0,U+,6,0,U-,2,True,True,True,False
181,2,5,0,V+,5,1,V-,2,True,True,True,False
182,2,5,1,U+,7,1,U-,2,True,True,True,False
183,2,5,1,V+,5,2,V-,2,True,True,True,False
184,2,5,2,U+,9,2,U-,2,True,True,True,False
185,2,5,2,V+,5,3,V-,2,True,True,True,False
186,2,5,3,U+,13,3,U-,2,True,True,True,False
187,2,5,3,V+,5,4,V-,2,True,True,True,False
188,2,5,4,U+,21,4,U-,2,True,True,True,False
189,2,5,4,V+,5,5,V-,2,True,True,True,False
190,2,6,0,U+,7,0,U-,2,True,True,True,False
191,2,6,0,V+,6,1,V-,2,True,True,True,False
192,2,6,1,U+,8,1,U-,2,True,True,True,False
193,2,6,1,V+,6,2,V-,2,True,True,True,False
194,2,6,2,U+,10,2,U-,2,True,True,True,False
195,2,6,2,V+,6,3,V-,2,True,True,True,False
196,2,6,3,U+,14,3,U-,2,True,True,True,False
197,2,6,3,V+,6,4,V-,2,True,True,True,False
198,2,6,4,U+,22,4,U-,2,True,True,True,False
199,2,6,4,V+,6,5,V-,2,True,True,True,False
200,2,7,0,U+,8,0,U-,2,True,True,True,False
201,2,7,0,V+,7,1,V-,2,True,True,True,False
202,2,7,1,U+,9,1,U-,2,True,True,True,False
203,2,7,1,V+,7,2,V-,2,True,True,True,False
204,2,7,2,U+,11,2,U-,2,True,True,True,False
205,2,7,2,V+,7,3,V-,2,True,True,True,False
206,2,7,3,U+,15,3,U-,2,True,True,True,False
207,2,7,3,V+,7,4,V-,2,True,True,True,False
208,2,7,4,U+,23,4,U-,2,True,True,True,False
209,2,7,4,V+,7,5,V-,2,True,True,True,False
210,2,8,0,U+,9,0,U-,2,True,True,True,False
211,2,8,0,V+,8,1,V-,2,True,True,True,False
212,2,8,1,U+,10,1,U-,2,True,True,True,False
213,2,8,1,V+,8,2,V-,2,True,True,True,False
214,2,8,2,U+,12,2,U-,2,True,True,True,False
215,2,8,2,V+,8,3,V-,2,True,True,True,False
216,2,8,3,U+,16,3,U-,2,True,True,True,False
217,2,8,3,V+,8,4,V-,2,True,True,True,False
218,2,8,4,U+,24,4,U-,2,True,True,True,False
219,2,8,4,V+,8,5,V-,2,True,True,True,False
220,2,9,0,U+,10,0,U-,2,True,True,True,False
221,2,9,0,V+,9,1,V-,2,True,True,True,False
222,2,9,1,U+,11,1,U-,2,True,True,True,False
223,2,9,1,V+,9,2,V-,2,True,True,True,False
224,2,9,2,U+,13,2,U-,2,True,True,True,False
225,2,9,2,V+,9,3,V-,2,True,True,True,False
226,2,9,3,U+,17,3,U-,2,True,True,True,False
227,2,9,3,V+,9,4,V-,2,True,True,True,False
228,2,9,4,U+,25,4,U-,2,True,True,True,False
229,2,9,4,V+,9,5,V-,2,True,True,True,False
230,2,10,0,U+,11,0,U-,2,True,True,True,False
231,2,10,0,V+,10,1,V-,2,True,True,True,False
232,2,10,1,U+,12,1,U-,2,True,True,True,False
233,2,10,1,V+,10,2,V-,2,True,True,True,False
234,2,10,2,U+,14,2,U-,2,True,True,True,False
235,2,10,2,V+,10,3,V-,2,True,True,True,False
236,2,10,3,U+,18,3,U-,2,True,True,True,False
237,2,10,3,V+,10,4,V-,2,True,True,True,False
238,2,10,4,U+,26,4,U-,2,True,True,True,False
239,2,10,4,V+,10,5,V-,2,True,True,True,False
240,2,11,0,U+,12,0,U-,2,True,True,True,False
241,2,11,0,V+,11,1,V-,2,True,True,True,False
242,2,11,1,U+,13,1,U-,2,True,True,True,False
243,2,11,1,V+,11,2,V-,2,True,True,True,False
244,2,11,2,U+,15,2,U-,2,True,True,True,False
245,2,11,2,V+,11,3,V-,2,True,True,True,False
246,2,11,3,U+,19,3,U-,2,True,True,True,False
247,2,11,3,V+,11,4,V-,2,True,True,True,False
248,2,11,4,U+,27,4,U-,2,True,True,True,False
249,2,11,4,V+,11,5,V-,2,True,True,True,False
250,2,12,0,U+,13,0,U-,2,True,True,True,False
251,2,12,0,V+,12,1,V-,2,True,True,True,False
252,2,12,1,U+,14,1,U-,2,True,True,True,False
253,2,12,1,V+,12,2,V-,2,True,True,True,False
254,2,12,2,U+,16,2,U-,2,True,True,True,False
255,2,12,2,V+,12,3,V-,2,True,True,True,False
256,2,12,3,U+,20,3,U-,2,True,True,True,False
257,2,12,3,V+,12,4,V-,2,True,True,True,False
258,2,12,4,U+,28,4,U-,2,True,True,True,False
259,2,12,4,V+,12,5,V-,2,True,True,True,False
260,3,0,0,U+,1,0,U-,2,True,True,True,False
261,3,0,0,V+,0,1,V-,2,True,True,True,False
262,3,0,1,U+,3,1,U-,2,True,True,True,False
263,3,0,1,V+,0,2,V-,2,True,True,True,False
264,3,0,2,U+,9,2,U-,2,True,True,True,False
265,3,0,2,V+,0,3,V-,2,True,True,True,False
266,3,0,3,U+,27,3,U-,2,True,True,True,False
267,3,0,3,V+,0,4,V-,2,True,True,True,False
268,3,0,4,U+,81,4,U-,2,True,True,True,False
269,3,0,4,V+,0,5,V-,2,True,True,True,False
270,3,1,0,U+,2,0,U-,2,True,True,True,False
271,3,1,0,V+,1,1,V-,2,True,True,True,False
272,3,1,1,U+,4,1,U-,2,True,True,True,False
273,3,1,1,V+,1,2,V-,2,True,True,True,False
274,3,1,2,U+,10,2,U-,2,True,True,True,False
275,3,1,2,V+,1,3,V-,2,True,True,True,False
276,3,1,3,U+,28,3,U-,2,True,True,True,False
277,3,1,3,V+,1,4,V-,2,True,True,True,False
278,3,1,4,U+,82,4,U-,2,True,True,True,False
279,3,1,4,V+,1,5,V-,2,True,True,True,False
280,3,2,0,U+,3,0,U-,2,True,True,True,False
281,3,2,0,V+,2,1,V-,2,True,True,True,False
282,3,2,1,U+,5,1,U-,2,True,True,True,False
283,3,2,1,V+,2,2,V-,2,True,True,True,False
284,3,2,2,U+,11,2,U-,2,True,True,True,False
285,3,2,2,V+,2,3,V-,2,True,True,True,False
286,3,2,3,U+,29,3,U-,2,True,True,True,False
287,3,2,3,V+,2,4,V-,2,True,True,True,False
288,3,2,4,U+,83,4,U-,2,True,True,True,False
289,3,2,4,V+,2,5,V-,2,True,True,True,False
290,3,3,0,U+,4,0,U-,2,True,True,True,False
291,3,3,0,V+,3,1,V-,2,True,True,True,False
292,3,3,1,U+,6,1,U-,2,True,True,True,False
293,3,3,1,V+,3,2,V-,2,True,True,True,False
294,3,3,2,U+,12,2,U-,2,True,True,True,False
295,3,3,2,V+,3,3,V-,2,True,True,True,False
296,3,3,3,U+,30,3,U-,2,True,True,True,False
297,3,3,3,V+,3,4,V-,2,True,True,True,False
298,3,3,4,U+,84,4,U-,2,True,True,True,False
299,3,3,4,V+,3,5,V-,2,True,True,True,False
300,3,4,0,U+,5,0,U-,2,True,True,True,False
301,3,4,0,V+,4,1,V-,2,True,True,True,False
302,3,4,1,U+,7,1,U-,2,True,True,True,False
303,3,4,1,V+,4,2,V-,2,True,True,True,False
304,3,4,2,U+,13,2,U-,2,True,True,True,False
305,3,4,2,V+,4,3,V-,2,True,True,True,False
306,3,4,3,U+,31,3,U-,2,True,True,True,False
307,3,4,3,V+,4,4,V-,2,True,True,True,False
308,3,4,4,U+,85,4,U-,2,True,True,True,False
309,3,4,4,V+,4,5,V-,2,True,True,True,False
310,3,5,0,U+,6,0,U-,2,True,True,True,False
311,3,5,0,V+,5,1,V-,2,True,True,True,False
312,3,5,1,U+,8,1,U-,2,True,True,True,False
313,3,5,1,V+,5,2,V-,2,True,True,True,False
314,3,5,2,U+,14,2,U-,2,True,True,True,False
315,3,5,2,V+,5,3,V-,2,True,True,True,False
316,3,5,3,U+,32,3,U-,2,True,True,True,False
317,3,5,3,V+,5,4,V-,2,True,True,True,False
318,3,5,4,U+,86,4,U-,2,True,True,True,False
319,3,5,4,V+,5,5,V-,2,True,True,True,False
320,3,6,0,U+,7,0,U-,2,True,True,True,False
321,3,6,0,V+,6,1,V-,2,True,True,True,False
322,3,6,1,U+,9,1,U-,2,True,True,True,False
323,3,6,1,V+,6,2,V-,2,True,True,True,False
324,3,6,2,U+,15,2,U-,2,True,True,True,False
325,3,6,2,V+,6,3,V-,2,True,True,True,False
326,3,6,3,U+,33,3,U-,2,True,True,True,False
327,3,6,3,V+,6,4,V-,2,True,True,True,False
328,3,6,4,U+,87,4,U-,2,True,True,True,False
329,3,6,4,V+,6,5,V-,2,True,True,True,False
330,3,7,0,U+,8,0,U-,2,True,True,True,False
331,3,7,0,V+,7,1,V-,2,True,True,True,False
332,3,7,1,U+,10,1,U-,2,True,True,True,False
333,3,7,1,V+,7,2,V-,2,True,True,True,False
334,3,7,2,U+,16,2,U-,2,True,True,True,False
335,3,7,2,V+,7,3,V-,2,True,True,True,False
336,3,7,3,U+,34,3,U-,2,True,True,True,False
337,3,7,3,V+,7,4,V-,2,True,True,True,False
338,3,7,4,U+,88,4,U-,2,True,True,True,False
339,3,7,4,V+,7,5,V-,2,True,True,True,False
340,3,8,0,U+,9,0,U-,2,True,True,True,False
341,3,8,0,V+,8,1,V-,2,True,True,True,False
342,3,8,1,U+,11,1,U-,2,True,True,True,False
343,3,8,1,V+,8,2,V-,2,True,True,True,False
344,3,8,2,U+,17,2,U-,2,True,True,True,False
345,3,8,2,V+,8,3,V-,2,True,True,True,False
346,3,8,3,U+,35,3,U-,2,True,True,True,False
347,3,8,3,V+,8,4,V-,2,True,True,True,False
348,3,8,4,U+,89,4,U-,2,True,True,True,False
349,3,8,4,V+,8,5,V-,2,True,True,True,False
350,3,9,0,U+,10,0,U-,2,True,True,True,False
351,3,9,0,V+,9,1,V-,2,True,True,True,False
352,3,9,1,U+,12,1,U-,2,True,True,True,False
353,3,9,1,V+,9,2,V-,2,True,True,True,False
354,3,9,2,U+,18,2,U-,2,True,True,True,False
355,3,9,2,V+,9,3,V-,2,True,True,True,False
356,3,9,3,U+,36,3,U-,2,True,True,True,False
357,3,9,3,V+,9,4,V-,2,True,True,True,False
358,3,9,4,U+,90,4,U-,2,True,True,True,False
359,3,9,4,V+,9,5,V-,2,True,True,True,False
360,3,10,0,U+,11,0,U-,2,True,True,True,False
361,3,10,0,V+,10,1,V-,2,True,True,True,False
362,3,10,1,U+,13,1,U-,2,True,True,True,False
363,3,10,1,V+,10,2,V-,2,True,True,True,False
364,3,10,2,U+,19,2,U-,2,True,True,True,False
365,3,10,2,V+,10,3,V-,2,True,True,True,False
366,3,10,3,U+,37,3,U-,2,True,True,True,False
367,3,10,3,V+,10,4,V-,2,True,True,True,False
368,3,10,4,U+,91,4,U-,2,True,True,True,False
369,3,10,4,V+,10,5,V-,2,True,True,True,False
370,3,11,0,U+,12,0,U-,2,True,True,True,False
371,3,11,0,V+,11,1,V-,2,True,True,True,False
372,3,11,1,U+,14,1,U-,2,True,True,True,False
373,3,11,1,V+,11,2,V-,2,True,True,True,False
374,3,11,2,U+,20,2,U-,2,True,True,True,False
375,3,11,2,V+,11,3,V-,2,True,True,True,False
376,3,11,3,U+,38,3,U-,2,True,True,True,False
377,3,11,3,V+,11,4,V-,2,True,True,True,False
378,3,11,4,U+,92,4,U-,2,True,True,True,False
379,3,11,4,V+,11,5,V-,2,True,True,True,False
380,3,12,0,U+,13,0,U-,2,True,True,True,False
381,3,12,0,V+,12,1,V-,2,True,True,True,False
382,3,12,1,U+,15,1,U-,2,True,True,True,False
383,3,12,1,V+,12,2,V-,2,True,True,True,False
384,3,12,2,U+,21,2,U-,2,True,True,True,False
385,3,12,2,V+,12,3,V-,2,True,True,True,False
386,3,12,3,U+,39,3,U-,2,True,True,True,False
387,3,12,3,V+,12,4,V-,2,True,True,True,False
388,3,12,4,U+,93,4,U-,2,True,True,True,False
389,3,12,4,V+,12,5,V-,2,True,True,True,False
390,5,0,0,U+,1,0,U-,2,True,True,True,False
391,5,0,0,V+,0,1,V-,2,True,True,True,False
392,5,0,1,U+,5,1,U-,2,True,True,True,False
393,5,0,1,V+,0,2,V-,2,True,True,True,False
394,5,0,2,U+,25,2,U-,2,True,True,True,False
395,5,0,2,V+,0,3,V-,2,True,True,True,False
396,5,0,3,U+,125,3,U-,2,True,True,True,False
397,5,0,3,V+,0,4,V-,2,True,True,True,False
398,5,0,4,U+,625,4,U-,2,True,True,True,False
399,5,0,4,V+,0,5,V-,2,True,True,True,False
400,5,1,0,U+,2,0,U-,2,True,True,True,False
401,5,1,0,V+,1,1,V-,2,True,True,True,False
402,5,1,1,U+,6,1,U-,2,True,True,True,False
403,5,1,1,V+,1,2,V-,2,True,True,True,False
404,5,1,2,U+,26,2,U-,2,True,True,True,False
405,5,1,2,V+,1,3,V-,2,True,True,True,False
406,5,1,3,U+,126,3,U-,2,True,True,True,False
407,5,1,3,V+,1,4,V-,2,True,True,True,False
408,5,1,4,U+,626,4,U-,2,True,True,True,False
409,5,1,4,V+,1,5,V-,2,True,True,True,False
410,5,2,0,U+,3,0,U-,2,True,True,True,False
411,5,2,0,V+,2,1,V-,2,True,True,True,False
412,5,2,1,U+,7,1,U-,2,True,True,True,False
413,5,2,1,V+,2,2,V-,2,True,True,True,False
414,5,2,2,U+,27,2,U-,2,True,True,True,False
415,5,2,2,V+,2,3,V-,2,True,True,True,False
416,5,2,3,U+,127,3,U-,2,True,True,True,False
417,5,2,3,V+,2,4,V-,2,True,True,True,False
418,5,2,4,U+,627,4,U-,2,True,True,True,False
419,5,2,4,V+,2,5,V-,2,True,True,True,False
420,5,3,0,U+,4,0,U-,2,True,True,True,False
421,5,3,0,V+,3,1,V-,2,True,True,True,False
422,5,3,1,U+,8,1,U-,2,True,True,True,False
423,5,3,1,V+,3,2,V-,2,True,True,True,False
424,5,3,2,U+,28,2,U-,2,True,True,True,False
425,5,3,2,V+,3,3,V-,2,True,True,True,False
426,5,3,3,U+,128,3,U-,2,True,True,True,False
427,5,3,3,V+,3,4,V-,2,True,True,True,False
428,5,3,4,U+,628,4,U-,2,True,True,True,False
429,5,3,4,V+,3,5,V-,2,True,True,True,False
430,5,4,0,U+,5,0,U-,2,True,True,True,False
431,5,4,0,V+,4,1,V-,2,True,True,True,False
432,5,4,1,U+,9,1,U-,2,True,True,True,False
433,5,4,1,V+,4,2,V-,2,True,True,True,False
434,5,4,2,U+,29,2,U-,2,True,True,True,False
435,5,4,2,V+,4,3,V-,2,True,True,True,False
436,5,4,3,U+,129,3,U-,2,True,True,True,False
437,5,4,3,V+,4,4,V-,2,True,True,True,False
438,5,4,4,U+,629,4,U-,2,True,True,True,False
439,5,4,4,V+,4,5,V-,2,True,True,True,False
440,5,5,0,U+,6,0,U-,2,True,True,True,False
441,5,5,0,V+,5,1,V-,2,True,True,True,False
442,5,5,1,U+,10,1,U-,2,True,True,True,False
443,5,5,1,V+,5,2,V-,2,True,True,True,False
444,5,5,2,U+,30,2,U-,2,True,True,True,False
445,5,5,2,V+,5,3,V-,2,True,True,True,False
446,5,5,3,U+,130,3,U-,2,True,True,True,False
447,5,5,3,V+,5,4,V-,2,True,True,True,False
448,5,5,4,U+,630,4,U-,2,True,True,True,False
449,5,5,4,V+,5,5,V-,2,True,True,True,False
450,5,6,0,U+,7,0,U-,2,True,True,True,False
451,5,6,0,V+,6,1,V-,2,True,True,True,False
452,5,6,1,U+,11,1,U-,2,True,True,True,False
453,5,6,1,V+,6,2,V-,2,True,True,True,False
454,5,6,2,U+,31,2,U-,2,True,True,True,False
455,5,6,2,V+,6,3,V-,2,True,True,True,False
456,5,6,3,U+,131,3,U-,2,True,True,True,False
457,5,6,3,V+,6,4,V-,2,True,True,True,False
458,5,6,4,U+,631,4,U-,2,True,True,True,False
459,5,6,4,V+,6,5,V-,2,True,True,True,False
460,5,7,0,U+,8,0,U-,2,True,True,True,False
461,5,7,0,V+,7,1,V-,2,True,True,True,False
462,5,7,1,U+,12,1,U-,2,True,True,True,False
463,5,7,1,V+,7,2,V-,2,True,True,True,False
464,5,7,2,U+,32,2,U-,2,True,True,True,False
465,5,7,2,V+,7,3,V-,2,True,True,True,False
466,5,7,3,U+,132,3,U-,2,True,True,True,False
467,5,7,3,V+,7,4,V-,2,True,True,True,False
468,5,7,4,U+,632,4,U-,2,True,True,True,False
469,5,7,4,V+,7,5,V-,2,True,True,True,False
470,5,8,0,U+,9,0,U-,2,True,True,True,False
471,5,8,0,V+,8,1,V-,2,True,True,True,False
472,5,8,1,U+,13,1,U-,2,True,True,True,False
473,5,8,1,V+,8,2,V-,2,True,True,True,False
474,5,8,2,U+,33,2,U-,2,True,True,True,False
475,5,8,2,V+,8,3,V-,2,True,True,True,False
476,5,8,3,U+,133,3,U-,2,True,True,True,False
477,5,8,3,V+,8,4,V-,2,True,True,True,False
478,5,8,4,U+,633,4,U-,2,True,True,True,False
479,5,8,4,V+,8,5,V-,2,True,True,True,False
480,5,9,0,U+,10,0,U-,2,True,True,True,False
481,5,9,0,V+,9,1,V-,2,True,True,True,False
482,5,9,1,U+,14,1,U-,2,True,True,True,False
483,5,9,1,V+,9,2,V-,2,True,True,True,False
484,5,9,2,U+,34,2,U-,2,True,True,True,False
485,5,9,2,V+,9,3,V-,2,True,True,True,False
486,5,9,3,U+,134,3,U-,2,True,True,True,False
487,5,9,3,V+,9,4,V-,2,True,True,True,False
488,5,9,4,U+,634,4,U-,2,True,True,True,False
489,5,9,4,V+,9,5,V-,2,True,True,True,False
490,5,10,0,U+,11,0,U-,2,True,True,True,False
491,5,10,0,V+,10,1,V-,2,True,True,True,False
492,5,10,1,U+,15,1,U-,2,True,True,True,False
493,5,10,1,V+,10,2,V-,2,True,True,True,False
494,5,10,2,U+,35,2,U-,2,True,True,True,False
