case_id,length,extended_signs,iterations,fixed_point_increment,recurrence_residual,minimum_disk_margin,crossed_residual,float64_forward_crossed_residual,left_bound_ratio,right_bound_ratio,endpoint_formula_error,endpoint_reciprocity_error,theta_monodromy_error,projective_initial_ratio,projective_left_ratio,projective_right_ratio
N8:--++----++,8,--++----++,19,2.6756374893466273e-14,5.062616992290714e-14,0.04420837196685215,3.2744415363679184e-81,2.455354308761315e-09,0.40227783192376,0.4242863880474954,6.938893903907228e-18,0.0,0.0,0.0006073670301885367,0.00012872681157794142,0.1949706507638097
N8:--++---+--,8,--++---+--,20,9.159339953157541e-14,1.5309975509580909e-13,0.06056184964827585,1.3633923753891955e-81,1.868581789299384e-09,0.4023194754543872,0.43559475692192473,8.326672684688674e-17,0.0,0.0,0.0008604279882940399,0.0002167662889856008,0.2087873875576374
N8:--++---++-,8,--++---++-,19,6.838973831690964e-14,7.366329768387914e-14,0.06610171145035951,1.2761743284700767e-81,1.1625670981452174e-09,0.4023125489124474,0.4361843033053528,6.938893903907228e-18,4.235164736271502e-22,0.0,0.0012914572656409632,0.00021175897457451775,0.2087477565656665
N8:--++--+---,8,--++--+---,20,5.434541705540141e-14,6.811218256075335e-14,0.044444605399796416,1.1143787236735142e-81,4.309098855515003e-09,0.4026197012517167,0.3246737815805303,5.551115123125783e-17,4.235164736271502e-22,0.0,0.0011243868243832897,0.00016459339160616944,0.08739439965715239
N8:--++--+--+,8,--++--+--+,20,8.554268404736831e-14,1.0458300891968975e-13,0.042110642238799095,1.0706607861498495e-81,3.778156287825851e-09,0.4026175202047593,0.4800043457313248,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.002964365679232801,0.000561142644624784,0.2830527014991256
N8:--++--++--,8,--++--++--,21,3.019806626980426e-14,3.391731340229853e-14,0.07435359836012187,5.634583645364167e-81,6.790213946672452e-10,0.402565632824956,0.40256563282495594,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.0028839727503661614,0.00037884363811509854,0.16379390758208942
N8:-+--------,8,-+--------,22,3.808064974464287e-14,7.427392034742297e-14,0.017809284309936585,3.1584504030996233e-80,1.3370205997897955e-08,0.30568320726178794,0.3062695944006877,2.7755575615628914e-17,5.293955920339377e-23,0.0,2.353281694199631e-05,1.9299273330386617e-05,0.07300885351612062
N8:-+-------+,8,-+-------+,22,6.339373470609644e-14,1.1879386363489175e-13,0.018426889815784026,9.875518689592574e-81,1.1948814770956773e-08,0.30568330451420783,0.4247308015409234,5.551115123125783e-17,0.0,0.0,4.961891860158662e-05,5.226691716667002e-05,0.19478573047065376
N8:-+------+-,8,-+------+-,21,7.926992395823618e-14,1.4477308241112041e-13,0.021860991214850772,8.200498333728403e-81,1.8649349786681313e-08,0.30568404361337875,0.3056840436133788,2.7755575615628914e-17,1.0587911840678754e-22,0.0,5.7724087428386706e-05,1.7359744188167898e-05,0.07304799240875386
N8:-+------++,8,-+------++,21,8.559819519859957e-14,1.496580637194711e-13,0.021199324446676188,7.802687122956699e-81,1.551816558587049e-08,0.30568390115772054,0.4241821342375552,2.7755575615628914e-17,0.0,0.0,9.337100641705504e-05,5.0543834287335146e-05,0.19482003160057115
N8:-+-----+--,8,-+-----+--,21,5.617728504603292e-14,1.0391687510491465e-13,0.025219599461406755,7.704955076871647e-81,4.4996606995972854e-09,0.30568917238968807,0.4357684091489091,2.7755575615628914e-17,1.0587911840678754e-22,0.0,0.00012822692604961896,8.386400281598895e-05,0.20903915097045647
N8:-+-----++-,8,-+-----++-,21,2.5646151868841116e-14,4.4853010194856324e-14,0.024651705909918636,4.930573793298485e-81,1.5287031085442493e-09,0.3056883050666964,0.4363539353867383,5.551115123125783e-17,0.0,0.0,0.0001935199308102604,8.19259706590425e-05,0.20900001210142394
N8:-+----+---,8,-+----+---,20,3.907985046680551e-14,5.850875339774575e-14,0.04929000106854656,1.3654296607360593e-80,5.9472155533590865e-09,0.30572603915995666,0.3247971912255914,2.7755575615628914e-17,1.0587911840678754e-22,0.0,0.00014189293824935287,5.869835532987468e-05,0.08749959167547107
N8:-+----+--+,8,-+----+--+,20,8.892886427247504e-14,1.6231460620019789e-13,0.04089000110101018,2.6973232227085507e-81,6.308549072020497e-09,0.3057257891508978,0.4804256422124284,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.00037557463243130236,0.00020061467871207648,0.283826852719725
N8:-+----++--,8,-+----++--,19,4.4297898682543746e-14,8.304468224196171e-14,0.0452381021951527,1.4904066715595996e-81,6.5566019835650025e-09,0.30571982534071834,0.4022789521399978,5.551115123125783e-17,0.0,0.0,0.00037591511531176187,0.00013655347318440779,0.1634304803115591
N8:-+---+----,8,-+---+----,20,2.4868995751603507e-14,3.275157922644212e-14,0.039569717680219135,5.393077080936895e-81,2.0486756180382315e-09,0.30598917383806595,0.3087439008300423,2.7755575615628914e-17,0.0,0.0,0.00014802774757590047,5.07106199587112e-05,0.0748319628698669
N8:-+---+---+,8,-+---+---+,20,4.7406523151494184e-14,9.50350909079134e-14,0.06445950690397609,2.0908837685242008e-81,2.9607374885110005e-09,0.3059889343891587,0.43152480641939756,2.7755575615628914e-17,0.0,0.0,0.00032449968861840206,0.00014147991512650015,0.20441753090658918
N8:-+---+--+-,8,-+---+--+-,19,3.275157922644212e-14,2.7755575615628914e-14,0.035366194731653394,6.010935224905651e-82,7.811765123655334e-10,0.3059870490988441,0.3078213830156585,5.551115123125783e-17,4.235164736271502e-22,0.0,0.00047261057516504676,4.0388309028242374e-05,0.0749220446455036
N8:-+---+--++,8,-+---+--++,19,2.5923707624997405e-14,3.552713678800501e-14,0.04514334401153272,6.426425970770303e-81,2.301713986074816e-09,0.30598744016859414,0.4306847358296689,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.0007249659569490309,0.0001327969343935036,0.20449200729282385
N8:-+---++---,8,-+---++---,19,8.79296635503124e-14,1.1146639167236572e-13,0.05970830604448943,1.8554638567677142e-82,9.768960640421653e-10,0.305944534605647,0.32165297174293,5.551115123125783e-17,0.0,0.0,0.0004185351624277959,9.8117694077313e-05,0.08484898119723723
N8:-+---++--+,8,-+---++--+,20,3.930189507173054e-14,4.8683279629813114e-14,0.05958476135556631,4.6614092259729095e-82,7.369093668607718e-10,0.30594495259850596,0.4699075054038812,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.0010667353501653141,0.0003199927993543673,0.26495162144596535
N8:-+--+-----,8,-+--+-----,20,9.9253938401489e-14,1.765254609153999e-13,0.023815120637473403,1.802795344657811e-81,5.1846845150471665e-09,0.3078233000254193,0.30660825624162613,2.7755575615628914e-17,1.0587911840678754e-22,0.0,0.00018422365576897988,5.44560623041107e-05,0.07325614426085807
N8:-+--+----+,8,-+--+----+,21,5.340172748447003e-14,8.659739592076221e-14,0.03532693627741376,2.3527178339906157e-81,1.08324887948541e-09,0.3078230785987348,0.4256497779012231,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.0003909952779800728,0.00014809520046157824,0.19606875621286302
N8:-+--+---+-,8,-+--+---+-,19,3.275157922644212e-14,2.7755575615628914e-14,0.03536619473165345,1.181166597910707e-81,2.0716631188300028e-09,0.3078213830156586,0.3059870490988442,2.7755575615628914e-17,0.0,0.0,0.00047261057516504725,4.835231897332138e-05,0.0732997442662663
N8:-+--+---++,8,-+--+---++,19,3.5360603334311236e-14,4.1744385725905886e-14,0.03535853985430856,3.6742184290355115e-81,3.3167087409857743e-09,0.30782171371907424,0.4250695267857189,2.7755575615628914e-17,6.352747104407253e-22,0.0,0.000758418398369344,0.00014270488847628618,0.19610672324901982
