cutoff,cycle,length,cofactor_word,holonomy,telescoped,integer_ge_two,q2_canonical
30,11-12-13-14-15-16-17-18-19-20-21,11,1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13,12,1-1-1-1-1-1-1-1-1-1-1-7,7,7,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14,12,1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
30,4-5-6-7-8-9-10-11-12-13-14-15,12,1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
30,6-7-8-9-10-11-12-13-14-15-16-17,12,1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,12-13-14-15-16-17-18-19-20-21-22-23,12,1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
30,13-14-15-16-17-18-19-20-21-22-23-24-25,13,1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15,14,1-1-1-1-1-1-1-1-1-1-1-1-1-8,8,8,True,True
30,7-8-9-10-11-12-13-14-15-16-17-18-19-20,14,1-1-1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,14-15-16-17-18-19-20-21-22-23-24-25-26-27,14,1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-6,6,6,True,True
30,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
30,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,15,1-1-1-1-1-1-1-1-1-1-1-1-1-1-2,2,2,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,16,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-9,9,9,True,True
30,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,16,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
30,8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,16,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10,10,10,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-7,7,7,True,True
30,6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
30,9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26,18,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21,20,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-11,11,11,True,True
30,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,20,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-6,6,6,True,True
30,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24,20,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
30,10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,20,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-3,3,3,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,21,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-8,8,8,True,True
30,7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27,21,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-4,4,4,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23,22,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-12,12,12,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25,24,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-13,13,13,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26,24,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-9,9,9,True,True
30,4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27,24,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-7,7,7,True,True
30,6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,24,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-5,5,5,True,True
30,5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,25,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-6,6,6,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27,26,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-14,14,14,True,True
30,3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,27,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-10,10,10,True,True
30,2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,28,1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-15,15,15,True,True
