t,k,holonomy,phase_real,phase_imag,absolute_value,selected_out,same_phase_for_all_k
1,29,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,30,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,31,2,0.76923890136397211,-0.63896127631363475,1,False,True
1,32,2,0.76923890136397211,-0.63896127631363475,1,False,True
1.4142135623730951,2,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,3,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,4,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,5,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,6,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,7,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,8,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,9,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,10,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,11,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,12,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,13,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,14,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,15,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,16,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,17,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,18,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,19,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,20,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,21,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,22,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,23,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,24,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,25,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,26,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,27,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,28,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,29,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,30,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,31,2,0.55680814073731211,-0.83064113455129207,1,False,True
1.4142135623730951,32,2,0.55680814073731211,-0.83064113455129207,1,False,True
