k,s_integer,u_integer,z,mass,coefficient,pure_at_z1_constant,factorial_damping
25,0,1,1/2,980390734080409707851586040233984000000,1/67108864,False,False
25,1,1,1,980390734080409707851586040233984000000,1/1922331982941449242018299446430151257389441027373545232042937024512000000000000,False,True
25,1,1,1/2,980390734080409707851586040233984000000,1/64502757803034018572754571530878153115788496471015762087508951469270237184000000000000,False,True
26,0,1,1,99999854876201790200861776103866368000000,1/2,True,False
26,0,1,1/2,99999854876201790200861776103866368000000,1/134217728,False,False
26,1,1,1,99999854876201790200861776103866368000000,1/19999941950522837913958387440659293681879744448794364594174716803022848000000000000,False,True
26,1,1,1/2,99999854876201790200861776103866368000000,1/1342173384365531858461877124414512610033327034568895977516886262172575095324672000000000000,False,True
27,0,1,1,10599984616877389761291348267009835008000000,1/2,True,False
27,0,1,1/2,10599984616877389761291348267009835008000000,1/268435456,False,False
27,1,1,1,10599984616877389761291348267009835008000000,1/224719347756074606801236441283247823809600808626653480580147117998764720128000000000000,False,True
27,1,1,1/2,10599984616877389761291348267009835008000000,1/30161320293462231923355302739842927372668925120832230406759468083542107542136029184000000000000,False,True
28,0,1,1,1165998307856512873742048309371081850880000000,1/2,True,False
28,0,1,1/2,1165998307856512873742048309371081850880000000,1/536870912,False,False
28,1,1,1,1165998307856512873742048309371081850880000000,1/2719104107848502742294960939527298668096169784382507115019780127785053113548800000000000000,False,True
28,1,1,1/2,1165998307856512873742048309371081850880000000,1/729903951101786012545198326304198842418587987924139975843579127621719002519691906252800000000000000,False,True
29,0,1,1,132923807095642467606593507268303331000320000000,1/2,True,False
29,0,1,1/2,132923807095642467606593507268303331000320000000,1/1073741824,False,False
29,1,1,1,132923807095642467606593507268303331000320000000,1/35337476985599141638865312370096773490577822517835062466797062540694550263680204800000000000000,False,True
29,1,1,1/2,132923807095642467606593507268303331000320000000,1/18971663497037622038074794897298736312143938982124246252126308685143720313491832027322777600000000000000,False,True
30,0,1,1,15685009237285811177578033857659793058037760000000,1/2,True,False
30,0,1,1/2,15685009237285811177578033857659793058037760000000,1/2147483648,False,False
30,1,1,1,15685009237285811177578033857659793058037760000000,1/492039029547482448179560609441227474082805600738335409787682298816630917871483171635200000000000000,False,True
30,1,1,1/2,15685009237285811177578033857659793058037760000000,1/528322885065503698516306888299975208820584412774196009629213444263882323290120538296884710604800000000000000,False,True
31,0,1,1,1913571126948868963664520130634494753080606720000000,1/2,True,False
31,0,1,1/2,1913571126948868963664520130634494753080606720000000,1/4294967296,False,False
31,1,1,1,1913571126948868963664520130634494753080606720000000,1/7323508915784728758704580110923229724248478561389384239279863335586734581599155526618316800000000000000,False,True
31,1,1,1/2,1913571126948868963664520130634494753080606720000000,1/15727115642629914097433423450913662016171156799462266814642425808847248999700308184021664065283686400000000000000,False,True
32,0,1,1,241109961995557489421729536459946338888156446720000000,1/2,True,False
32,0,1,1/2,241109961995557489421729536459946338888156446720000000,1/8589934592,False,False
32,1,1,1,241109961995557489421729536459946338888156446720000000,1/116268027546998353773193913841017195102168845640617864182807110315774998217468193140592397516800000000000000,False,True
32,1,1,1/2,241109961995557489421729536459946338888156446720000000,1/499367375884785032421706061413410596337466570696525895898526304282517850238484185459055877400887610572800000000000000,False,True
