inventory,k,cycle,holonomy,support_present,positive_weight,inventory_product,composite_length_witness
composite_polynomial,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,116268027546998353773193913841017195102168845640617864182807110315774998217468193140592397516800000000000000,True
quadratic_generic,2,2-3,2,True,True,50,False
quadratic_generic,3,3-4-5,2,True,True,4420,False
quadratic_generic,4,4-5-6-7,2,True,True,817700,True
quadratic_generic,5,5-6-7-8-9,2,True,True,256373000,False
quadratic_generic,6,6-7-8-9-10-11,2,True,True,121501081000,True
quadratic_generic,7,7-8-9-10-11-12-13,2,True,True,80945990450000,False
quadratic_generic,8,8-9-10-11-12-13-14-15,2,True,True,72077547736298000,True
quadratic_generic,9,9-10-11-12-13-14-15-16-17,2,True,True,82645225119789076000,True
quadratic_generic,10,10-11-12-13-14-15-16-17-18-19,2,True,True,118575740674916887700000,True
quadratic_generic,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,208085162660431871383400000,False
quadratic_generic,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,438428615261180430648385000000,True
quadratic_generic,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,1092146846134957889041779026000000,False
quadratic_generic,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,3174999369578573754960809484938000000,True
quadratic_generic,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,10652686971118527384855057082535380000000,True
quadratic_generic,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,40855505594958570943149287552975801060000000,True
quadratic_generic,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,177610169750846161035928177115028069005000000000,False
quadratic_generic,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,868747685546619876546777491484411190959829000000000,True
quadratic_generic,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,4749750999910564284422164482596108926475724774800000000,False
quadratic_generic,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,28856574244732886533389011394830929284278444033066000000000,True
quadratic_generic,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,193783913629188989909739819907568834196773827742271412000000000,True
quadratic_generic,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,1431567701307034726929361870934817049459311631301926986500000000000,True
quadratic_generic,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,11583484303993149309364875073289691764639676519668644933185800000000000,False
quadratic_generic,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,102253098415345714272292874663473496602434436555898362500103940200000000000,True
quadratic_generic,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,981170757742438882317364736205431535570198484886919294283709664386000000000000,True
quadratic_generic,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,10199790392054649769083462287635684779136892652790871842363031276961122000000000000,True
quadratic_generic,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,114518636276997039331302586442294271477782094384779994708114503526950275300000000000000,True
quadratic_generic,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,1384709463660987809103004910571881714848615147347315367190908000740866879355620000000000000,True
quadratic_generic,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,17984024406865841988226001037589779685745660612729575792806502922997863760191573000000000000000,False
quadratic_generic,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,250258378970948444141454724866231374457605585751911577783857836453160759890381766545000000000000000,True
quadratic_generic,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,3722745319860224487069117251846347997567236373581778277396203597192530874885144691703490000000000000000,False
quadratic_generic,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,59071106389609538166881081765484777506304277245317143224590394220254642847521334634315674250000000000000000,True
exponential,2,2-3,2,True,True,32,False
exponential,3,3-4-5,2,True,True,4096,False
exponential,4,4-5-6-7,2,True,True,4194304,True
exponential,5,5-6-7-8-9,2,True,True,34359738368,False
exponential,6,6-7-8-9-10-11,2,True,True,2251799813685248,True
exponential,7,7-8-9-10-11-12-13,2,True,True,1180591620717411303424,False
exponential,8,8-9-10-11-12-13-14-15,2,True,True,4951760157141521099596496896,True
exponential,9,9-10-11-12-13-14-15-16-17,2,True,True,166153499473114484112975882535043072,True
exponential,10,10-11-12-13-14-15-16-17-18-19,2,True,True,44601490397061246283071436545296723011960832,True
exponential,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,95780971304118053647396689196894323976171195136475136,False
exponential,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,1645504557321206042154969182557350504982735865633579863348609024,True
exponential,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,226156424291633194186662080095093570025917938800079226639565593765455331328,False
exponential,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,True
exponential,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,2187250724783011924372502227117621365353169430893212436425770606409952999199375923223513177023053824,True
exponential,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,153914086704665934422965000391185991426092731525255651046673021110334850669910978950836977558144201721900890587136,True
exponential,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,86645927941275464361825443254471365732388658605494267974077486894206915868925800719999200190754361815543475342543861619655442432,False
exponential,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,390218568789499028922699653724145788218574767833121393857394619953171467352470702515038262882936496394978366390175827861930996959911035663286272,True
exponential,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,14059105607947488696282932836518693308967803494693489478439861164411992439598399594747002144074658928593502845729752797260025831423419686528151609940203637047296,False
exponential,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,4052261297735344686047273304385899561535592023674254785152009111026028136145418111718463914987406049109568248643848426935932764722081811824108276205189417663145685354884286644224,True
exponential,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,9343878384890255807777119448474196633381331982845050737826186276657715542443371287564109437577976626746659450006721346172290467269376897020421450382791094657540085093089822617769726345721044533248,True
exponential,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,172364133221937103085272756482216056112753534658909761028039668631756215232006744379020625060744018369805777923479247838020220755974022884986972234404720831691332769255536872593544438018353486799545737272878084128768,True
exponential,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,25436456424254815193480879938969641865328820504439957276902228591018818808813598905645111850248543894740790979741795503409915167442777118989423202714274711784725790327125604852535546439788108920017108978789850624014628402852922291912704,False
exponential,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,30030067315218800919884630782037027445247038374198014146711597563050526250476926831789640794321325523394216076738821850476730762665208973047045843626559620640158907690363610309346513399556581649279919071671610504617321356178738468477058455548958390664298496,True
exponential,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,283625966735416996535885333662014114404918709117773906527666446555317050392228007039102232836943884008369202383078188524332921074971181050832906833858946728855699699487201666630303651778087184309051360279531753007138776532531333940154475963659030548670205136385754377903702802432,True
exponential,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,21430172143725346418968500981200036211228096234110672148875007767407021022498722449863967576313917162551893458351062936503742905713846280871969155149397149607869135549648461970842149210124742283755908364306092949967163882534797535118331087892154125829142392955373084335320859663305248773674411336138752,True
exponential,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,12953744211667879574559702190010707651171625584905095574841686913755541732351702201085464556891975967691972983316275962328947759192690782519488857596207264634977115153700247127325882095493965845839345131422255684387968478939180332711558614761546211605811843616790961251349338535374752162059924960553344400851693295429983666176,True
exponential,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,62640463352675399139361171168466664252555073273283378227400087112621770543198165321509748672673763115331424775038473263661526024555557018265941623695575680702530020322796156982384417993744337305202742079633231792218232604748629707355185287328051223393177438177151758204543797866000027646067758805575605491161647342764886572303030393251243056278011904,True
exponential,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,2423285551989543969259886147306320615721694717012975552426444448158985017722789267546553034738712987127346362442309271495645764807314487385596126924659433020959638410571315406303196994043324038030803068668509323897700215957022383545283810557899591580902307500436706661372076856211818662627186819885605667216486349283517459646495626188985295134800963771933733229691796170211328,False
exponential,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,749970552857407621470912575719347637843693974224197019717081392972804678501988389626260347011083617550455491449097852480417030704520892667142165169723990731328663835538645184540089410261857593479289180465291864687358735147754326623970045201347796345076856884940270048303277883677344558667553571214535956096032019343467970508444791705389583616580727218292769907991918088438960654684625353312826051002368,True
exponential,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,1856837151334355109806587825314849184084667157119506591061884338735158774854496298664742690482170231295502127788063672036275965032001050625841618570825403018794446331145091871371414684082860485860338826851783908598890759375405057613180403314736909191522255302602739056054795228394259314892914035093244249223787056803074921688860087356778760151042043874914955913868899744303572248355604432057660595407388545379732613686641100324864,False
exponential,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,36778448897110482613832345673039460951417438475733779165034103989643209710568286143021927247731720728507213840955932690244482680950850804519189651304485697196277059011560443493206513640101341242627648058126645203515584501005624376059896654084770324172940302144505320398398946461206320623959261535152982641149428849933190795029514038262371192170419000058760085963667179618479105090049973507764791491428535556747327238444610153389371388616962173261367870488576,True
deterministic_perturbed,2,2-3,2,True,True,88760/9409,False
deterministic_perturbed,3,3-4-5,2,True,True,69767896/912673,False
deterministic_perturbed,4,4-5-6-7,2,True,True,103492420416/88529281,True
deterministic_perturbed,5,5-6-7-8-9,2,True,True,168688285286976/8587340257,False
deterministic_perturbed,6,6-7-8-9-10-11,2,True,True,402701109051333456/832972004929,True
deterministic_perturbed,7,7-8-9-10-11-12-13,2,True,True,1012196359324320153984/80798284478113,False
deterministic_perturbed,8,8-9-10-11-12-13-14-15,2,True,True,2887184343130841994143904/7837433594376961,True
deterministic_perturbed,9,9-10-11-12-13-14-15-16-17,2,True,True,9787999105420189874300779776/760231058654565217,True
deterministic_perturbed,10,10-11-12-13-14-15-16-17-18-19,2,True,True,36545221022388043945372347677184/73742412689492826049,True
deterministic_perturbed,11,11-12-13-14-15-16-17-18-19-20-21,2,True,True,142138865534436966585457868559897600/7153014030880804126753,False
deterministic_perturbed,12,12-13-14-15-16-17-18-19-20-21-22-23,2,True,True,655354929357444040603351079306834534400/693842360995438000295041,True
deterministic_perturbed,13,13-14-15-16-17-18-19-20-21-22-23-24-25,2,True,True,3118039916515379221737337394244760367424000/67302709016557486028618977,False
deterministic_perturbed,14,14-15-16-17-18-19-20-21-22-23-24-25-26-27,2,True,True,16509542226519681206878367159900412979023360000/6528362774606076144776040769,True
deterministic_perturbed,15,15-16-17-18-19-20-21-22-23-24-25-26-27-28-29,2,True,True,93077268878771593503708770390962598137748167680000/633251189136789386043275954593,True
deterministic_perturbed,16,16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31,2,True,True,556437048013665285565777922279976263291889303782400000/61425365346268570446197767595521,True
deterministic_perturbed,17,17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33,2,True,True,3625226254769182768231953097308080169443839314665472000000/5958260438588051333281183456765537,False
deterministic_perturbed,18,18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35,2,True,True,24152723955257099761968793946204509645858912369668139008000000/577951262543040979328274795306257089,True
deterministic_perturbed,19,19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37,2,True,True,169316888795786864015378305834931711512492697903522102169600000000/56061272466674974994842655144706937633,False
deterministic_perturbed,20,20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39,2,True,True,13502098252879565568953850636671723072395905190986562953216000000000/56061272466674974994842655144706937633,True
deterministic_perturbed,21,21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41,2,True,True,106432264822553415553592715179090192350373748298393085480607744000000000/5437943429267472574499737549036572950401,True
deterministic_perturbed,22,22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43,2,True,True,896083661593363067156191900961587132740585523029782537074939833876480000000/527480512638944839726474542256547576188897,True
deterministic_perturbed,23,23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45,2,True,True,7851361954465993161034207805469799865433897634995329619721903739283701760000000/51165609725977649453468030598885114890323009,False
deterministic_perturbed,24,24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47,2,True,True,69982217192298318786267680443568240782613924920318931927621893766778739752960000000/4963064143419831996986398968091856144361331873,True
deterministic_perturbed,25,25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49,2,True,True,674585068864978924845394071796945024199809808721860343732872916441481843543375872000000/481417221911723703707680699904910046003049191681,True
deterministic_perturbed,26,26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51,2,True,True,6602100106717084239661042727642974925718303099722655798400039062056382565830503694336000000/46697470525437199259645027890776274462295771593057,True
deterministic_perturbed,27,27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53,2,True,True,69467992555905025272487739338519696115886307095180646633188953849591662344906291825082368000000/4529654640967408328185567705405298622842689844526529,True
deterministic_perturbed,28,28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55,2,True,True,740937773865280453876812217889236960009323514675644688946740014584498476022385744738829467648000000/439376500173838607834000067424313966415740914919073313,True
deterministic_perturbed,29,29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57,2,True,True,8155520374968927462032278775235619464116196096157409716678262446136802474467034661351171748265984000000/42619520516862344959898006540158454742326868747150111361,False
deterministic_perturbed,30,30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59,2,True,True,94143109730072257819932906203882002769174016935353474594545724279326121562908126428502914964547174400000000/4134093490135647461110106634395370110005706268473560802017,True
deterministic_perturbed,31,31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61,2,True,True,1100634716207170286355593375029074859190826451135927247145509506385631042426082041977935450924582227148800000000/401007068543157803727680343536350900670553508041935397795649,False
deterministic_perturbed,32,32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63,2,True,True,13247825455009011676602539070326485170925099803382305690288976843086411758173076937520475486648705877855436800000000/38897685648686306961584993323026037365043690280067733586177953,True
